"Name","Team","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","playerid"
"Luke Jackson","Braves",".386","2.74","17.5%","60.5%","22.0%","5.1%","25.6%","48","5.94","450","804","1254","38.7%","34.8%","26.5%","15.5%","51.9%","32.6%","11752"
"Clay Holmes","Pirates",".299","2.73","17.6%","60.3%","22.1%","10.0%","16.7%","15","2.70","389","526","915","48.6%","33.3%","18.1%","25.4%","40.6%","34.1%","13649"
"Jeanmar Gomez","Rangers",".389","2.73","26.8%","53.6%","19.6%","0.0%","18.2%","5","2.93","101","169","270","42.9%","33.9%","23.2%","8.9%","51.8%","39.3%","9033"
"Brian Schlitter","Athletics",".387","2.71","16.1%","61.3%","22.6%","14.3%","0.0%","1","0.93","52","98","150","41.9%","32.3%","25.8%","19.4%","48.4%","32.3%","3599"
"Kevin McCarthy","Royals",".315","2.70","20.1%","58.3%","21.6%","9.1%","9.1%","39","5.82","295","606","901","43.5%","36.7%","19.8%","18.8%","41.6%","39.6%","15240"
"Dakota Hudson","Cardinals",".274","2.67","21.7%","56.9%","21.3%","9.0%","19.8%","118","6.08","1130","1718","2848","42.0%","34.8%","23.2%","17.5%","42.0%","40.5%","19206"
"Tyler Chatwood","Cubs",".285","2.65","29.1%","51.5%","19.4%","12.5%","20.0%","51","5.99","516","769","1285","35.6%","34.6%","29.8%","20.2%","48.1%","31.7%","4338"
"Jared Hughes","- - -",".228","2.64","18.4%","59.2%","22.4%","4.4%","28.9%","34","4.29","449","694","1143","58.3%","31.1%","10.7%","15.1%","45.6%","39.3%","9325"
"Alex Claudio","Brewers",".265","2.57","20.2%","57.4%","22.3%","14.3%","19.0%","32","4.65","349","629","978","43.8%","33.3%","22.9%","28.1%","41.7%","30.2%","12890"
"Tayler Scott","- - -",".431","2.57","21.9%","56.3%","21.9%","7.1%","42.9%","10","5.51","144","210","354","51.6%","29.7%","18.8%","12.5%","46.9%","40.6%","13652"
"Fernando Abad","Giants",".200","2.56","13.5%","62.2%","24.3%","0.0%","22.2%","6","4.15","60","111","171","32.4%","48.7%","18.9%","21.6%","37.8%","40.5%","4994"
"Anthony Kay","Blue Jays",".341","2.56","27.3%","52.3%","20.5%","11.1%","0.0%","14","9.00","95","163","258","43.2%","36.4%","20.5%","25.0%","40.9%","34.1%","20387"
"Paul Fry","Orioles",".297","2.54","19.1%","58.0%","22.8%","2.7%","18.9%","28","4.40","429","647","1076","34.6%","35.8%","29.7%","20.0%","53.9%","26.1%","15832"
"Ricardo Pinto","Rays",".300","2.50","36.4%","45.5%","18.2%","0.0%","50.0%","0","0.00","16","29","45","36.4%","27.3%","36.4%","36.4%","27.3%","36.4%","16318"
"Zac Rosscup","- - -",".426","2.45","22.4%","55.1%","22.4%","9.1%","18.2%","11","5.50","177","225","402","55.1%","26.5%","18.4%","22.5%","44.9%","32.7%","9419"
"Ranger Suarez","Phillies",".319","2.45","22.4%","55.1%","22.4%","3.0%","18.2%","29","5.36","291","472","763","43.3%","35.3%","21.3%","14.7%","46.7%","38.7%","17277"
"Paul Blackburn","Athletics",".390","2.44","26.2%","52.4%","21.4%","0.0%","33.3%","9","7.36","91","133","224","50.0%","25.0%","25.0%","20.5%","43.2%","36.4%","14739"
"Randy Dobnak","Twins",".302","2.42","25.3%","52.9%","21.8%","21.1%","5.3%","11","3.49","137","290","427","47.1%","28.7%","24.1%","20.7%","36.8%","42.5%","23798"
"Max Fried","Braves",".336","2.41","24.1%","53.6%","22.2%","6.7%","20.2%","138","7.50","945","1725","2670","39.9%","32.4%","27.7%","17.9%","43.9%","38.2%","13743"
"Jace Fry","White Sox",".285","2.41","19.3%","57.0%","23.7%","6.3%","21.9%","33","5.40","466","588","1054","47.5%","35.8%","16.8%","16.1%","48.9%","35.0%","16159"
"Luke Gregerson","Cardinals",".458","2.40","29.2%","50.0%","20.8%","40.0%","0.0%","1","1.59","39","65","104","54.2%","20.8%","25.0%","25.0%","20.8%","54.2%","4090"
"Ryan Pressly","Astros",".256","2.37","27.8%","50.8%","21.4%","7.4%","22.2%","27","4.47","261","576","837","46.8%","31.0%","22.2%","20.6%","42.9%","36.5%","7005"
"Kyle Ryan","Cubs",".299","2.36","17.1%","58.2%","24.7%","9.5%","11.9%","26","3.84","404","648","1052","39.8%","33.9%","26.3%","19.9%","45.6%","34.5%","11753"
"Adam Cimber","Indians",".287","2.36","20.3%","55.9%","23.7%","9.5%","14.3%","45","7.15","257","540","797","37.8%","36.1%","26.1%","20.0%","42.8%","37.2%","15288"
"Clayton Richard","Blue Jays",".297","2.35","20.5%","55.8%","23.7%","13.5%","24.3%","24","4.76","272","456","728","43.3%","36.3%","20.4%","20.4%","40.8%","38.9%","3551"
"Allen Webster","Cubs",".343","2.33","18.9%","56.8%","24.3%","0.0%","22.2%","9","7.36","60","111","171","40.5%","37.8%","21.6%","27.0%","37.8%","35.1%","3993"
"Jake Petricka","Brewers",".222","2.33","25.9%","51.9%","22.2%","0.0%","0.0%","2","2.25","55","63","118","33.3%","48.2%","18.5%","7.4%","63.0%","29.6%","10534"
"Will Harris","Astros",".245","2.31","21.7%","54.6%","23.7%","5.6%","16.7%","39","5.85","352","583","935","41.2%","32.0%","26.8%","17.7%","41.2%","41.2%","3192"
"Brett Martin","Rangers",".340","2.30","22.8%","53.8%","23.4%","13.0%","15.2%","47","6.79","343","679","1022","45.5%","36.4%","18.2%","18.2%","42.9%","38.9%","17369"
"Logan Allen","- - -",".352","2.30","29.0%","49.5%","21.5%","0.0%","20.0%","17","5.53","168","282","450","39.0%","40.0%","21.1%","14.7%","39.0%","46.3%","18555"
"Jeremy Walker","Braves",".321","2.29","17.9%","57.1%","25.0%","14.3%","0.0%","4","3.86","70","94","164","60.7%","28.6%","10.7%","7.1%","39.3%","53.6%","19981"
"Antonio Senzatela","Rockies",".333","2.26","22.4%","53.8%","23.8%","3.8%","18.3%","84","6.06","885","1352","2237","38.2%","37.1%","24.7%","17.8%","43.8%","38.4%","15488"
"Taylor Cole","Angels",".366","2.21","29.7%","48.4%","21.9%","2.9%","5.9%","35","6.10","349","562","911","45.8%","29.0%","25.2%","21.3%","42.6%","36.1%","11964"
"Dillon Tate","Orioles",".268","2.19","13.6%","59.3%","27.1%","6.3%","18.8%","7","3.00","132","218","350","55.9%","27.1%","17.0%","20.3%","55.9%","23.7%","17796"
"Tim Hill","Royals",".267","2.19","16.5%","57.3%","26.2%","14.8%","14.8%","26","5.90","221","413","634","40.0%","38.1%","21.9%","28.6%","43.8%","27.6%","16814"
"Brusdar Graterol","Twins",".346","2.17","29.6%","48.1%","22.2%","0.0%","16.7%","6","5.59","43","101","144","25.9%","40.7%","33.3%","22.2%","51.9%","25.9%","20367"
"Kyle Gibson","Twins",".330","2.16","24.8%","51.4%","23.8%","14.2%","20.4%","127","7.14","1064","1700","2764","47.9%","32.4%","19.7%","16.2%","46.7%","37.1%","10123"
"Brett Anderson","Athletics",".278","2.15","20.1%","54.5%","25.4%","6.7%","13.3%","119","6.09","956","1703","2659","41.5%","37.8%","20.7%","14.5%","45.3%","40.2%","8223"
"Tanner Scott","Orioles",".400","2.13","26.6%","50.0%","23.4%","0.0%","26.7%","13","4.44","191","272","463","40.6%","31.3%","28.1%","10.9%","45.3%","43.8%","17586"
"Logan Webb","Giants",".333","2.11","28.1%","48.8%","23.1%","3.6%","17.9%","20","4.54","258","418","676","38.5%","36.9%","24.6%","17.2%","40.2%","42.6%","17995"
"Adrian Houser","Brewers",".301","2.09","21.1%","53.4%","25.5%","5.3%","18.4%","56","4.53","669","1141","1810","42.9%","33.0%","24.1%","17.8%","45.9%","36.3%","12718"
"Brandon Brennan","Mariners",".235","2.09","18.4%","55.2%","26.4%","3.0%","18.2%","17","3.23","282","443","725","46.4%","28.8%","24.8%","19.2%","50.4%","30.4%","13527"
"Tim Mayza","Blue Jays",".272","2.08","21.3%","53.2%","25.5%","8.3%","22.2%","13","2.28","370","551","921","39.9%","37.8%","22.4%","16.8%","46.2%","37.1%","15042"
"Luis Castillo","Reds",".262","2.07","18.0%","55.2%","26.7%","8.9%","17.9%","100","4.72","1216","1942","3158","38.0%","40.3%","21.8%","16.8%","45.8%","37.3%","15689"
"Marcus Stroman","- - -",".307","2.06","20.1%","53.7%","26.1%","9.8%","12.6%","97","4.74","1162","1885","3047","40.7%","32.4%","26.9%","18.9%","46.9%","34.2%","13431"
"Mike Soroka","Braves",".280","2.02","23.5%","51.2%","25.3%","14.3%","11.1%","103","5.31","883","1674","2557","44.3%","33.9%","21.8%","19.0%","44.7%","36.3%","18383"
"Jake Arrieta","Phillies",".316","2.00","23.0%","51.3%","25.7%","6.5%","19.4%","96","6.37","806","1386","2192","39.0%","38.5%","22.5%","16.4%","45.3%","38.3%","4153"
"Jesus Sucre","Orioles",".000","2.00","0.0%","66.7%","33.3%","0.0%","0.0%","1","9.00","2","7","9","33.3%","33.3%","33.3%","0.0%","100.0%","0.0%","5942"
"Sam Freeman","Angels",".250","2.00","33.3%","44.4%","22.2%","0.0%","50.0%","4","18.00","16","24","40","44.4%","11.1%","44.4%","11.1%","33.3%","55.6%","6832"
"Jonny Venters","- - -",".409","2.00","4.0%","64.0%","32.0%","12.5%","37.5%","2","2.25","92","105","197","52.0%","40.0%","8.0%","12.0%","32.0%","56.0%","7175"
"Carlos Torres","Tigers",".412","2.00","36.8%","42.1%","21.1%","0.0%","50.0%","3","4.50","44","71","115","42.1%","31.6%","26.3%","15.8%","42.1%","42.1%","7624"
"JC Ramirez","Angels",".259","2.00","25.0%","50.0%","25.0%","0.0%","14.3%","1","1.13","38","69","107","46.4%","39.3%","14.3%","10.7%","53.6%","35.7%","8302"
"Carlos Martinez","Cardinals",".298","2.00","15.3%","56.5%","28.2%","2.9%","5.7%","14","2.61","274","505","779","38.1%","34.9%","27.0%","15.9%","46.0%","38.1%","11682"
"Luke Maile","Blue Jays",".250","2.00","25.0%","50.0%","25.0%","100.0%","0.0%","0","0.00","13","20","33","50.0%","0.0%","50.0%","25.0%","25.0%","50.0%","13355"
"Matt Bowman","Reds",".258","2.00","17.3%","55.1%","27.6%","14.8%","7.4%","22","6.19","201","360","561","37.4%","38.4%","24.2%","17.2%","56.6%","26.3%","13528"
"Taylor Guerrieri","Rangers",".333","2.00","16.7%","55.6%","27.8%","15.0%","15.0%","9","3.08","203","288","491","51.4%","27.8%","20.8%","16.7%","44.4%","38.9%","13616"
"Duane Underwood Jr.","Cubs",".344","2.00","18.2%","54.5%","27.3%","0.0%","22.2%","6","4.63","75","136","211","35.3%","32.4%","32.4%","23.5%","41.2%","35.3%","14677"
"Brady Lail","Yankees",".167","2.00","14.3%","57.1%","28.6%","0.0%","50.0%","6","20.25","17","29","46","42.9%","28.6%","28.6%","57.1%","14.3%","28.6%","14707"
"Joe Mantiply","Yankees",".222","2.00","10.0%","60.0%","30.0%","0.0%","33.3%","2","6.00","15","37","52","50.0%","30.0%","20.0%","30.0%","20.0%","50.0%","14857"
"Drew Anderson","Phillies",".294","2.00","33.3%","44.4%","22.2%","25.0%","25.0%","1","1.50","43","61","104","27.8%","55.6%","16.7%","22.2%","50.0%","27.8%","15130"
"Jose De Leon","Rays",".333","2.00","33.3%","44.4%","22.2%","0.0%","0.0%","3","6.75","30","50","80","44.4%","33.3%","22.2%","0.0%","77.8%","22.2%","15463"
"Bryan Abreu","Astros",".250","2.00","25.0%","50.0%","25.0%","0.0%","0.0%","3","3.12","56","90","146","37.5%","43.8%","18.8%","25.0%","37.5%","37.5%","16609"
"Pedro Araujo","Orioles",".500","2.00","0.0%","66.7%","33.3%","0.0%","100.0%","0","0.00","8","6","14","66.7%","33.3%","0.0%","0.0%","33.3%","66.7%","17697"
"Tanner Anderson","Athletics",".342","2.00","20.3%","53.2%","26.6%","19.0%","19.0%","7","2.82","163","259","422","31.7%","39.2%","29.1%","19.0%","32.9%","48.1%","18029"
"Taylor Hearn","Rangers",".750","2.00","25.0%","50.0%","25.0%","0.0%","0.0%","0","0.00","21","18","39","75.0%","0.0%","25.0%","0.0%","100.0%","0.0%","18325"
"James Marvel","Pirates",".333","2.00","21.5%","52.3%","26.2%","5.9%","23.5%","4","2.08","132","199","331","43.3%","37.3%","19.4%","17.9%","47.8%","34.3%","19675"
"Hyun-Jin Ryu","Dodgers",".278","1.98","24.2%","50.4%","25.4%","9.2%","13.0%","113","5.57","907","1799","2706","39.9%","35.9%","24.3%","20.3%","45.5%","34.2%","14444"
"Dan Otero","Indians",".343","1.97","19.8%","53.2%","27.0%","0.0%","20.0%","8","2.43","141","275","416","36.0%","39.6%","24.3%","18.0%","46.0%","36.0%","7385"
"Marcus Walden","Red Sox",".264","1.97","19.2%","53.5%","27.2%","12.1%","10.3%","50","5.77","466","802","1268","40.2%","36.9%","22.9%","17.3%","50.9%","31.8%","8004"
"Tyson Ross","Tigers",".306","1.94","22.2%","51.3%","26.5%","6.5%","22.6%","12","3.06","223","372","595","45.8%","27.1%","27.1%","19.5%","40.7%","39.8%","7872"
"Amir Garrett","Reds",".303","1.92","18.0%","53.9%","28.1%","5.6%","19.4%","24","3.86","386","592","978","45.7%","31.8%","22.5%","18.6%","42.6%","38.8%","14375"
"Jordan Romano","Blue Jays",".351","1.91","20.0%","52.5%","27.5%","36.4%","36.4%","5","2.93","120","191","311","39.0%","34.2%","26.8%","19.5%","41.5%","39.0%","16122"
"Colten Brewer","Red Sox",".333","1.91","23.3%","50.3%","26.4%","9.3%","14.0%","32","5.27","401","615","1016","46.1%","32.7%","21.2%","17.6%","55.2%","27.3%","12997"
"Diego Castillo","Rays",".300","1.90","13.2%","56.9%","29.9%","17.3%","15.4%","37","4.85","400","719","1119","44.4%","31.5%","24.2%","18.0%","46.6%","35.4%","17496"
"Jon Gray","Rockies",".314","1.90","23.2%","50.4%","26.5%","8.1%","17.1%","88","5.28","854","1519","2373","35.4%","37.0%","27.6%","15.2%","45.0%","39.8%","14916"
"Luis Perdomo","Padres",".293","1.90","19.8%","52.5%","27.6%","3.3%","10.0%","32","4.00","336","708","1044","40.7%","36.2%","23.1%","13.1%","48.4%","38.5%","14682"
"Sam Dyson","- - -",".273","1.90","17.8%","53.8%","28.4%","10.4%","12.5%","37","5.34","280","568","848","35.4%","38.8%","25.8%","18.5%","52.3%","29.2%","11710"
"Austin Pruitt","Rays",".296","1.89","20.3%","52.2%","27.5%","2.6%","18.4%","25","4.79","241","479","720","38.7%","38.0%","23.2%","18.3%","45.1%","36.6%","15290"
"Seranthony Dominguez","Phillies",".323","1.89","16.7%","54.5%","28.8%","5.3%","15.8%","18","6.57","169","295","464","35.3%","32.4%","32.4%","22.1%","50.0%","27.9%","19249"
"Zach Duke","Reds",".266","1.88","26.9%","47.8%","25.4%","11.8%","23.5%","16","6.17","178","230","408","38.2%","32.4%","29.4%","16.2%","48.5%","35.3%","3840"
"Brandon Kintzler","Cubs",".255","1.87","16.1%","54.7%","29.2%","10.6%","10.6%","28","4.42","309","546","855","40.1%","36.4%","23.5%","18.5%","43.8%","37.7%","9939"
"Mike Montgomery","- - -",".343","1.87","24.8%","49.0%","26.2%","2.6%","23.7%","42","4.15","605","974","1579","43.9%","35.7%","20.4%","13.3%","40.8%","45.9%","4869"
"Matt Moore","Tigers",".130","1.86","9.1%","59.1%","31.8%","0.0%","0.0%","4","3.60","37","80","117","26.1%","52.2%","21.7%","21.7%","60.9%","17.4%","1890"
"Anthony Bass","Mariners",".203","1.86","20.6%","51.6%","27.8%","11.4%","14.3%","10","1.88","283","455","738","49.2%","28.1%","22.7%","25.0%","45.3%","29.7%","7982"
"Erick Fedde","Nationals",".283","1.86","21.5%","51.0%","27.5%","8.7%","15.9%","48","5.54","521","766","1287","40.3%","34.1%","25.6%","20.9%","43.8%","35.3%","17425"
"Justin Wilson","Mets",".299","1.85","21.4%","51.0%","27.6%","0.0%","14.8%","30","6.92","254","438","692","34.7%","34.7%","30.7%","23.8%","45.5%","30.7%","4301"
"Phillips Valdez","Rangers",".326","1.85","17.8%","53.3%","28.9%","0.0%","23.1%","0","0.00","109","184","293","47.8%","30.4%","21.7%","10.9%","60.9%","28.3%","15605"
"Jameson Taillon","Pirates",".263","1.84","23.5%","49.6%","27.0%","9.7%","12.9%","17","4.10","170","385","555","43.2%","30.5%","26.3%","19.5%","44.9%","35.6%","11674"
"Jake Diekman","- - -",".317","1.82","26.7%","47.3%","26.0%","18.4%","7.9%","20","2.90","441","743","1184","46.6%","30.4%","23.0%","19.6%","51.4%","29.1%","5003"
"Andrew Kittredge","Rays",".336","1.82","22.5%","50.0%","27.5%","10.5%","18.4%","39","7.07","260","558","818","44.9%","26.1%","29.0%","20.3%","50.7%","29.0%","12828"
"Jose Alvarez","Phillies",".328","1.80","23.5%","49.2%","27.3%","8.0%","16.0%","29","4.42","327","657","984","35.3%","40.2%","24.5%","15.8%","54.4%","29.9%","5358"
"Yefry Ramirez","- - -",".382","1.80","21.1%","50.7%","28.2%","10.0%","20.0%","2","0.74","197","267","464","54.2%","26.4%","19.4%","13.9%","54.2%","31.9%","15655"
"Dylan Floro","Dodgers",".302","1.79","20.4%","51.1%","28.5%","12.8%","10.3%","41","7.91","245","497","742","31.5%","32.9%","35.7%","17.5%","51.8%","30.8%","13394"
"Brandon Workman","Red Sox",".209","1.79","20.3%","51.1%","28.6%","2.6%","2.6%","38","4.77","499","745","1244","45.2%","30.4%","24.4%","14.8%","47.4%","37.8%","11428"
"Richard Lovelady","Royals",".412","1.79","22.1%","50.0%","27.9%","10.5%","10.5%","5","2.25","136","239","375","25.7%","37.1%","37.1%","11.4%","45.7%","42.9%","19337"
"JT Chargois","Dodgers",".347","1.79","26.4%","47.2%","26.4%","14.3%","28.6%","15","6.33","90","202","292","47.2%","30.2%","22.6%","20.8%","37.7%","41.5%","13767"
"Tanner Rainey","Nationals",".283","1.79","17.9%","52.6%","29.5%","7.1%","21.4%","28","5.21","357","543","900","42.9%","37.8%","19.4%","18.4%","45.9%","35.7%","17610"
"Stephen Strasburg","Nationals",".274","1.78","20.3%","51.1%","28.6%","7.4%","16.2%","133","5.73","1173","2211","3384","39.5%","35.3%","25.2%","21.0%","48.5%","30.5%","10131"
"Williams Jerez","- - -",".357","1.78","16.7%","53.3%","30.0%","11.1%","22.2%","7","6.10","82","110","192","40.0%","36.7%","23.3%","10.0%","30.0%","60.0%","14338"
"Johnny Cueto","Giants",".190","1.77","16.3%","53.5%","30.2%","15.4%","23.1%","7","3.94","107","158","265","44.4%","35.6%","20.0%","22.2%","37.8%","40.0%","6893"
"Tommy Kahnle","Yankees",".279","1.77","21.2%","50.4%","28.5%","10.3%","23.1%","36","5.28","357","669","1026","43.5%","31.9%","24.6%","18.8%","47.1%","34.1%","11384"
"Rowan Wick","Cubs",".256","1.77","15.3%","54.1%","30.6%","11.5%","0.0%","15","4.05","210","377","587","32.6%","40.7%","26.7%","16.3%","54.7%","29.1%","14646"
"Juan Nicasio","Phillies",".366","1.76","28.1%","45.9%","26.0%","10.5%","10.5%","16","3.04","297","535","832","33.6%","34.9%","31.5%","17.5%","41.6%","40.9%","7731"
"Kyle Zimmer","Royals",".413","1.75","32.3%","43.1%","24.6%","6.3%","12.5%","4","1.96","180","255","435","40.0%","23.1%","36.9%","13.9%","52.3%","33.9%","14169"
"Justus Sheffield","Mariners",".371","1.75","17.8%","52.3%","29.9%","6.3%","15.6%","21","5.25","258","415","673","45.0%","30.3%","24.8%","16.5%","49.5%","33.9%","17285"
"Jose Urena","Marlins",".323","1.75","21.4%","50.0%","28.6%","8.9%","16.5%","26","2.76","506","866","1372","46.6%","35.1%","18.3%","13.6%","43.0%","43.4%","11589"
"Joe Biagini","- - -",".317","1.75","27.5%","46.1%","26.4%","11.8%","27.5%","35","4.87","443","699","1142","44.9%","30.4%","24.7%","13.9%","46.9%","39.2%","13194"
"Casey Sadler","- - -",".255","1.74","18.4%","51.8%","29.8%","11.9%","11.9%","19","3.69","258","438","696","50.0%","37.0%","13.0%","15.8%","47.3%","37.0%","11209"
"Evan Marshall","White Sox",".266","1.74","19.0%","51.4%","29.6%","11.9%","11.9%","30","5.33","306","528","834","50.0%","27.8%","22.2%","20.8%","53.5%","25.7%","12297"
"Fernando Rodney","- - -",".344","1.74","21.8%","49.6%","28.6%","13.2%","13.2%","17","3.21","337","544","881","36.8%","31.6%","31.6%","18.8%","49.6%","31.6%","494"
"Drew VerHagen","Tigers",".357","1.74","19.4%","51.1%","29.4%","9.4%","17.0%","22","3.41","339","606","945","49.4%","31.1%","19.4%","17.2%","42.8%","40.0%","13424"
"Frankie Montas","Athletics",".297","1.73","22.1%","49.4%","28.5%","13.3%","10.7%","73","6.84","520","965","1485","45.1%","30.7%","24.2%","14.8%","47.4%","37.9%","14309"
