"Name","Team","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","playerid"
"Jared Walsh","Angels",".250","10.00","8.3%","83.3%","8.3%","0.0%","0.0%","6","10.80","43","50","93","33.3%","25.0%","41.7%","25.0%","41.7%","33.3%","18607"
"Zack Britton","Yankees",".224","8.13","13.3%","77.2%","9.5%","6.7%","20.0%","31","4.55","382","551","933","43.4%","41.5%","15.1%","22.0%","50.3%","27.7%","3240"
"Reggie McClain","Mariners",".290","6.57","25.4%","64.8%","9.9%","0.0%","28.6%","5","2.14","145","209","354","52.1%","29.6%","18.3%","14.1%","49.3%","36.6%","19311"
"Nathan Karns","Orioles",".438","6.00","12.5%","75.0%","12.5%","0.0%","0.0%","1","1.69","35","56","91","50.0%","37.5%","12.5%","31.3%","43.8%","25.0%","12638"
"Taylor Williams","Brewers",".438","5.40","31.9%","57.4%","10.6%","0.0%","20.0%","6","3.68","101","166","267","38.8%","30.6%","30.6%","14.3%","40.8%","44.9%","14899"
"Danny Hultzen","Cubs",".400","5.00","40.0%","50.0%","10.0%","0.0%","0.0%","0","0.00","26","47","73","30.0%","60.0%","10.0%","40.0%","40.0%","20.0%","12874"
"Tyler Rogers","Giants",".240","4.86","16.3%","69.4%","14.3%","14.3%","0.0%","9","4.58","78","178","256","38.0%","34.0%","28.0%","28.0%","44.0%","28.0%","15541"
"Taylor Guilbeau","Mariners",".211","4.50","15.4%","69.2%","15.4%","0.0%","33.3%","8","5.84","67","114","181","45.0%","40.0%","15.0%","15.0%","57.5%","27.5%","18306"
"Zac Grotz","Mariners",".304","4.43","17.4%","67.4%","15.2%","0.0%","0.0%","15","7.79","112","187","299","58.7%","23.9%","17.4%","13.0%","50.0%","37.0%","18256"
"Cody Reed","Reds",".353","4.33","5.9%","76.5%","17.6%","0.0%","0.0%","3","4.26","26","62","88","70.6%","23.5%","5.9%","17.7%","23.5%","58.8%","15232"
"Aaron Bummer","White Sox",".228","4.28","11.0%","72.1%","16.9%","0.0%","13.8%","35","4.66","381","658","1039","42.3%","32.0%","25.7%","22.9%","52.0%","25.1%","16258"
"Jordan Hicks","Cardinals",".215","4.09","16.4%","67.2%","16.4%","0.0%","18.2%","8","2.51","182","272","454","40.3%","38.8%","20.9%","22.4%","55.2%","22.4%","19618"
"Aaron Loup","Padres",".286","4.00","28.6%","57.1%","14.3%","0.0%","0.0%","0","0.00","20","33","53","57.1%","14.3%","28.6%","14.3%","42.9%","42.9%","10343"
"Donnie Hart","- - -",".182","4.00","9.1%","72.7%","18.2%","0.0%","0.0%","0","0.00","40","64","104","40.9%","45.5%","13.6%","22.7%","40.9%","36.4%","15306"
"Framber Valdez","Astros",".319","3.74","21.3%","62.1%","16.6%","5.7%","25.7%","37","4.71","467","708","1175","44.1%","33.8%","22.1%","21.1%","40.9%","38.0%","17295"
"Randy Rosario","- - -",".302","3.71","26.7%","57.8%","15.6%","0.0%","28.6%","14","8.79","81","143","224","40.0%","37.8%","22.2%","13.3%","46.7%","40.0%","14508"
"Mark Melancon","- - -",".349","3.67","21.0%","62.1%","16.9%","12.1%","12.1%","27","3.61","387","681","1068","39.8%","37.8%","22.5%","16.3%","45.4%","38.3%","4264"
"Scott Alexander","Dodgers",".263","3.60","22.0%","61.0%","16.9%","0.0%","20.0%","10","5.19","100","178","278","45.8%","32.2%","22.0%","13.6%","44.1%","42.4%","10591"
"Joe Kelly","Dodgers",".323","3.54","21.6%","61.2%","17.3%","16.7%","25.0%","37","6.49","320","574","894","38.9%","39.6%","21.6%","24.5%","33.1%","42.5%","9761"
"Dan Jennings","Nationals",".500","3.50","35.7%","50.0%","14.3%","0.0%","50.0%","2","3.86","63","71","134","46.7%","33.3%","20.0%","26.7%","33.3%","40.0%","8073"
"Junior Fernandez","Cardinals",".269","3.50","35.7%","50.0%","14.3%","0.0%","50.0%","5","3.86","96","122","218","60.7%","28.6%","10.7%","7.1%","53.6%","39.3%","18496"
"Adam Kolarek","- - -",".259","3.48","14.7%","66.3%","19.0%","6.5%","22.6%","26","4.25","276","518","794","35.2%","34.6%","30.3%","18.8%","49.7%","31.5%","10843"
"T.J. McFarland","Diamondbacks",".346","3.31","20.5%","61.1%","18.4%","2.9%","17.1%","24","3.86","340","557","897","43.3%","34.0%","22.7%","16.0%","41.2%","42.8%","3237"
"Jimmy Cordero","- - -",".227","3.16","21.8%","59.4%","18.8%","10.5%","21.1%","18","4.34","182","360","542","51.5%","30.7%","17.8%","24.8%","47.5%","27.7%","15690"
"Eric Yardley","Padres",".275","3.13","15.4%","64.1%","20.5%","12.5%","12.5%","9","6.94","57","124","181","48.8%","29.3%","22.0%","19.5%","43.9%","36.6%","15538"
"Emmanuel Clase","Rangers",".281","3.08","19.7%","60.6%","19.7%","0.0%","15.4%","15","5.79","118","227","345","42.4%","36.4%","21.2%","15.2%","48.5%","36.4%","21032"
"Dallas Keuchel","Braves",".298","3.06","20.2%","60.1%","19.6%","7.5%","23.9%","45","3.59","713","1151","1864","48.6%","33.9%","17.5%","20.4%","42.8%","36.8%","9434"
"David Carpenter","Rangers",".308","3.00","38.5%","46.2%","15.4%","0.0%","0.0%","1","2.70","30","39","69","30.8%","69.2%","0.0%","7.7%","23.1%","69.2%","3959"
"Caleb Joseph","Diamondbacks",".000","3.00","0.0%","75.0%","25.0%","0.0%","0.0%","2","13.50","2","7","9","25.0%","50.0%","25.0%","0.0%","75.0%","25.0%","7087"
"Chad Bettis","Rockies",".325","3.00","18.9%","60.8%","20.3%","13.6%","22.7%","49","6.93","372","658","1030","40.6%","40.6%","18.7%","17.8%","43.4%","38.8%","10587"
"Taylor Davis","Cubs",".500","3.00","33.3%","50.0%","16.7%","0.0%","0.0%","2","18.00","2","10","12","33.3%","50.0%","16.7%","33.3%","66.7%","0.0%","12782"
"James Pazos","Rockies",".250","3.00","20.0%","60.0%","20.0%","0.0%","20.0%","5","4.35","55","94","149","40.0%","40.0%","20.0%","24.0%","40.0%","36.0%","13323"
"Daniel Robertson","Rays",".333","3.00","0.0%","100.0%","0.0%","0.0%","0.0%","0","0.00","2","5","7","66.7%","33.3%","0.0%","0.0%","33.3%","66.7%","14145"
"Dillon Maples","Cubs",".200","3.00","9.1%","68.2%","22.7%","20.0%","40.0%","3","2.31","102","135","237","36.4%","36.4%","27.3%","27.3%","36.4%","36.4%","14672"
"James Bourque","Nationals",".750","3.00","0.0%","75.0%","25.0%","0.0%","0.0%","0","0.00","17","12","29","25.0%","25.0%","50.0%","0.0%","25.0%","75.0%","16668"
"Jake Jewell","Angels",".278","3.00","15.0%","63.8%","21.3%","5.9%","47.1%","9","3.08","139","273","412","56.3%","32.5%","11.3%","11.3%","40.0%","48.8%","16958"
"Richard Bleier","Orioles",".316","2.95","19.8%","59.9%","20.3%","10.3%","15.4%","33","5.37","246","516","762","42.0%","35.8%","22.3%","16.6%","56.0%","27.5%","7803"
