"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid"
"Danny Valencia","Orioles","27.00","0.00","1.00","0.00","100.0%","0.0%","100.0%",".000","0.00",".000","100.0%","0","-63","-66","0.00","-2.84","2.84","-2.84","-0.31","6364"
"Alex Blandino","Reds","18.00","0.00","2.00","0.00","50.0%","0.0%","50.0%",".250","1.00",".500","100.0%","0","-21","-22","0.00","-0.84","0.84","-0.84","0.35","16271"
"Adam McCreery","Braves","18.00","0.00","2.00","0.00","28.6%","0.0%","28.6%",".571","4.00",".800","50.0%","442","-22","19","18.00","-0.84","18.84","0.81","2.37","19550"
"Julio Urias","Dodgers","15.75","0.00","7.00","0.00","53.9%","0.0%","53.9%",".077","0.25",".167","100.0%","0","-9","11","0.00","-0.34","0.34","0.49","0.36","14765"
"Scott Copeland","Mets","13.50","0.00","2.00","0.00","40.0%","0.0%","40.0%",".200","0.75",".333","100.0%","0","3","3","0.00","0.16","-0.16","0.16","0.43","10706"
"Mike Morin","Mariners","13.50","2.25","6.00","0.00","33.3%","5.6%","27.8%",".353","1.75",".545","57.1%","164","23","51","6.75","0.91","5.84","2.15","2.39","13442"
"Ryan Rua","Rangers","9.00","0.00","1.00","0.00","33.3%","0.0%","33.3%",".000","0.00",".000","100.0%","0","27","28","0.00","1.16","-1.16","1.16","1.16","12409"
"D.J. Johnson","Rockies","12.79","2.84","4.50","0.00","33.3%","7.4%","25.9%",".240","1.26",".375","62.5%","92","29","63","4.26","1.27","3.00","2.57","2.57","12578"
"Jerad Eickhoff","Phillies","18.56","0.00","11.00","1.69","42.3%","0.0%","42.3%",".385","1.88",".643","69.8%","167","35","21","6.75","1.47","5.28","0.89","1.42","12664"
"Edwin Diaz","Mariners","15.22","2.09","7.29","0.61","44.3%","6.1%","38.2%",".160","0.79",".281","82.5%","48","39","42","1.96","1.61","0.36","1.78","1.49","14710"
"Ty Buttrey","Angels","11.02","2.76","4.00","0.00","28.6%","7.1%","21.4%",".231","1.22",".333","65.0%","79","39","60","3.31","1.63","1.68","2.54","2.67","14719"
"Brandon Dixon","Reds","6.75","0.00","1.00","0.00","25.0%","0.0%","25.0%",".000","0.00",".000","100.0%","0","39","133","0.00","1.66","-1.66","5.38","6.28","15214"
"Oliver Perez","Indians","11.97","1.95","6.14","0.28","35.8%","5.8%","30.0%",".153","0.74",".239","81.3%","31","41","61","1.39","1.74","-0.35","2.56","2.17","1514"
