"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid"
"Blake Treinen","Athletics","11.20","2.35","4.76","0.22","31.8%","6.7%","25.1%",".157","0.83",".230","85.9%","19","44","57","0.78","1.82","-1.03","2.42","2.46","12572"
"Sean Doolittle","Nationals","12.00","1.20","10.00","0.60","36.8%","3.7%","33.1%",".135","0.60",".196","84.7%","39","45","66","1.60","1.89","-0.29","2.68","1.95","1581"
"Jose Leclerc","Rangers","13.27","3.90","3.40","0.16","38.1%","11.2%","26.9%",".123","0.85",".211","71.2%","33","43","73","1.56","1.90","-0.33","3.10","2.60","14524"
"Chris Sale","Red Sox","13.50","1.94","6.97","0.63","38.4%","5.5%","32.9%",".179","0.86",".283","82.5%","47","48","55","2.11","1.98","0.13","2.31","2.27","10603"
"Jacob deGrom","Mets","11.16","1.91","5.85","0.41","32.2%","5.5%","26.7%",".194","0.91",".281","82.0%","45","49","64","1.70","1.99","-0.29","2.60","2.78","10954"
"Will Smith","Giants","12.06","2.55","4.73","0.51","33.8%","7.1%","26.7%",".190","0.98",".281","71.1%","66","53","68","2.55","2.07","0.48","2.76","2.50","8048"
"Marcus Walden","Red Sox","8.59","1.84","4.67","0.00","23.7%","5.1%","18.6%",".255","1.16",".341","61.1%","82","50","70","3.68","2.07","1.61","2.97","2.76","8004"
"Aroldis Chapman","Yankees","16.31","5.26","3.10","0.35","43.9%","14.2%","29.7%",".136","1.05",".268","78.3%","58","49","61","2.45","2.09","0.36","2.58","2.51","10233"
"Roberto Gomez","Giants","7.71","0.96","8.00","0.00","16.3%","2.0%","14.3%",".426","2.25",".513","50.0%","200","54","95","7.71","2.09","5.62","3.86","3.53","12963"
"Brad Wieck","Padres","12.86","0.00","10.00","1.29","41.7%","0.0%","41.7%",".125","0.43",".154","100.0%","33","53","53","1.29","2.16","-0.88","2.19","1.34","16390"
"Nick Gardewine","Rangers","7.20","0.00","4.00","0.00","17.4%","0.0%","17.4%",".318","1.40",".389","75.0%","77","49","106","3.60","2.16","1.44","4.47","3.90","16513"
"Craig Stammen","Padres","10.03","1.94","5.18","0.34","27.8%","5.4%","22.4%",".219","1.04",".301","74.3%","70","54","73","2.73","2.19","0.55","2.97","2.78","7274"
"Josh Hader","Brewers","15.82","3.32","4.77","1.00","46.7%","9.8%","36.9%",".131","0.81",".220","80.9%","60","54","50","2.43","2.23","0.21","2.05","1.70","14212"
"Jose Alvarado","Rays","11.25","4.08","2.76","0.14","30.4%","11.0%","19.4%",".180","1.11",".270","72.2%","58","56","75","2.39","2.27","0.12","3.15","3.16","17780"
"Stephen Tarpley","Yankees","13.00","6.00","2.17","0.00","32.5%","15.0%","17.5%",".176","1.33",".286","75.0%","70","53","67","3.00","2.27","0.73","2.82","3.47","15859"
"Tony Cingrani","Dodgers","14.29","2.38","6.00","0.79","37.9%","6.3%","31.6%",".221","1.10",".354","63.5%","124","58","61","4.76","2.32","2.44","2.49","2.02","12555"
"Taylor Rogers","Twins","9.88","2.11","4.69","0.40","28.9%","6.2%","22.7%",".202","0.95",".280","74.8%","61","55","70","2.63","2.33","0.31","2.94","2.81","13449"
"Drew Anderson","Phillies","7.82","1.42","5.50","0.00","18.6%","3.4%","15.3%",".309","1.50",".386","66.7%","123","57","116","4.97","2.37","2.60","4.72","3.93","15130"
"Daniel Zamora","Mets","16.00","3.00","5.33","1.00","44.4%","8.3%","36.1%",".188","1.00",".333","81.4%","79","59","59","3.00","2.38","0.62","2.41","1.71","17811"
"Aaron Bummer","White Sox","9.95","2.84","3.50","0.28","24.3%","6.9%","17.4%",".301","1.58",".402","64.5%","102","56","67","4.26","2.40","1.86","2.83","2.80","16258"
"Tony Sipp","Astros","9.78","3.03","3.23","0.23","27.8%","8.6%","19.2%",".197","1.03",".277","83.3%","45","58","87","1.86","2.41","-0.55","3.70","3.28","8280"
"Felipe Vazquez","Pirates","11.44","3.09","3.71","0.51","30.1%","8.1%","22.0%",".232","1.24",".331","77.7%","68","60","75","2.70","2.43","0.27","3.06","2.95","12076"
"Joakim Soria","- - -","11.13","2.37","4.69","0.59","29.4%","6.3%","23.1%",".224","1.14",".310","71.9%","76","58","80","3.12","2.44","0.68","3.35","2.88","6941"
"Trevor Bauer","Indians","11.34","2.93","3.88","0.46","30.8%","8.0%","22.9%",".206","1.09",".297","79.5%","50","58","74","2.21","2.44","-0.23","3.14","3.21","12703"
"Will Harris","Astros","10.16","2.22","4.57","0.48","27.8%","6.1%","21.7%",".224","1.09",".306","70.2%","85","59","66","3.49","2.44","1.06","2.77","2.77","3192"
"Tony Watson","Giants","9.82","1.91","5.14","0.55","27.6%","5.4%","22.2%",".220","1.03",".294","78.9%","67","63","76","2.59","2.45","0.14","3.09","2.90","3132"
"Roberto Osuna","- - -","7.58","0.95","8.00","0.24","21.3%","2.7%","18.7%",".232","0.97",".294","78.3%","57","58","88","2.37","2.45","-0.08","3.72","3.32","13764"
"Ryan Pressly","- - -","12.80","2.79","4.59","0.76","34.6%","7.5%","27.1%",".213","1.11",".319","82.9%","59","59","61","2.54","2.47","0.06","2.58","2.39","7005"
"Dellin Betances","Yankees","15.53","3.51","4.42","0.95","42.3%","9.6%","32.7%",".183","1.05",".311","81.3%","63","57","46","2.70","2.47","0.23","1.95","2.03","6216"
"Patrick Corbin","Diamondbacks","11.07","2.16","5.13","0.68","30.8%","6.0%","24.8%",".217","1.05",".302","74.7%","78","61","64","3.15","2.47","0.68","2.61","2.91","9323"
"Alec Mills","Cubs","11.50","3.50","3.29","0.50","32.4%","9.9%","22.5%",".172","1.00",".250","60.2%","100","61","77","4.00","2.49","1.51","3.15","3.12","13834"
"Kirby Yates","Padres","12.86","2.43","5.29","0.86","36.0%","6.8%","29.2%",".179","0.92",".263","87.7%","55","63","65","2.14","2.54","-0.40","2.64","2.26","9073"
"Rhiner Cruz","Blue Jays","10.80","5.40","2.00","0.00","26.7%","13.3%","13.3%",".231","1.50",".333","80.0%","63","60","84","2.70","2.56","0.14","3.55","3.90","711"
"Adam Kolarek","Rays","4.98","1.31","3.80","0.00","13.5%","3.6%","9.9%",".281","1.25",".328","65.9%","95","63","95","3.93","2.58","1.35","4.02","3.71","10843"
"Richard Rodriguez","Pirates","11.42","2.47","4.63","0.65","31.5%","6.8%","24.7%",".216","1.07",".309","83.3%","62","64","85","2.47","2.60","-0.13","3.47","2.73","13549"
"Dennis Santana","Dodgers","9.82","2.45","4.00","0.00","21.1%","5.3%","15.8%",".353","1.91",".462","37.5%","319","65","75","12.27","2.62","9.66","3.07","3.52","17878"
"Jose Castillo","Padres","12.21","2.82","4.33","0.70","34.7%","8.0%","26.7%",".170","0.91",".250","71.0%","84","65","77","3.29","2.64","0.65","3.13","2.53","17169"
"Jeurys Familia","- - -","10.38","3.50","2.96","0.38","27.5%","9.3%","18.2%",".221","1.22",".306","74.6%","79","65","85","3.13","2.65","0.48","3.53","3.33","5114"
"Max Scherzer","Nationals","12.24","2.08","5.88","0.94","34.6%","5.9%","28.8%",".187","0.91",".265","81.3%","61","64","75","2.53","2.65","-0.12","3.06","2.71","3137"
"Andrew Chafin","Diamondbacks","9.67","4.56","2.12","0.00","25.1%","11.9%","13.3%",".223","1.34",".313","73.5%","77","66","91","3.10","2.65","0.45","3.69","3.80","12988"
"Ian Krol","Angels","9.00","4.50","2.00","0.00","25.0%","12.5%","12.5%",".143","1.00",".200","100.0%","0","63","82","0.00","2.66","-2.66","3.49","3.24","10066"
"Jace Fry","White Sox","12.27","3.51","3.50","0.70","32.7%","9.4%","23.4%",".192","1.11",".277","57.3%","105","63","70","4.38","2.67","1.71","2.95","2.84","16159"
"Gerrit Cole","Astros","12.40","2.88","4.31","0.85","34.5%","8.0%","26.5%",".196","1.03",".286","77.9%","70","65","72","2.88","2.70","0.17","3.04","2.91","13125"
"Richard Bleier","Orioles","4.13","1.10","3.75","0.00","11.3%","3.0%","8.3%",".281","1.22",".319","82.9%","44","61","95","1.93","2.70","-0.77","4.02","3.81","7803"
"James Norwood","Cubs","8.18","4.09","2.00","0.00","18.5%","9.3%","9.3%",".286","1.73",".359","63.2%","102","66","133","4.09","2.71","1.38","5.41","4.61","16440"
"Matt Barnes","Red Sox","14.01","4.52","3.10","0.73","36.2%","11.7%","24.5%",".203","1.26",".321","75.3%","82","65","67","3.65","2.71","0.94","2.83","2.78","12863"
"Robert Stock","Padres","8.62","2.95","2.92","0.23","22.9%","7.8%","15.1%",".245","1.26",".321","77.1%","64","67","96","2.50","2.71","-0.21","3.92","3.61","6576"
"Ricardo Rodriguez","Rangers","4.05","1.35","3.00","0.00","9.7%","3.2%","6.5%",".367","1.80",".407","75.0%","87","62","105","4.05","2.71","1.34","4.45","4.64","15458"
"Collin McHugh","Astros","11.70","2.61","4.48","0.75","33.2%","7.4%","25.8%",".175","0.91",".248","84.7%","48","65","77","1.99","2.72","-0.73","3.26","2.62","7531"
"A.J. Minter","Braves","10.13","3.23","3.14","0.44","26.5%","8.5%","18.1%",".242","1.29",".329","75.5%","79","67","89","3.23","2.72","0.51","3.62","3.40","18655"
"Evan Marshall","Indians","11.57","5.14","2.25","0.00","24.3%","10.8%","13.5%",".375","2.29",".522","64.7%","173","65","81","7.71","2.73","4.98","3.44","3.44","12297"
"Caleb Frare","White Sox","11.57","5.14","2.25","0.00","29.0%","12.9%","16.1%",".231","1.43",".353","63.6%","123","64","104","5.14","2.73","2.41","4.38","3.75","14353"
"Adam Ottavino","Rockies","12.98","4.17","3.11","0.58","36.3%","11.7%","24.6%",".154","0.99",".240","76.3%","53","63","77","2.43","2.74","-0.30","3.13","2.82","1247"
"Steven Okert","Giants","9.82","0.00","8.00","1.23","29.6%","0.0%","29.6%",".148","0.55",".167","100.0%","32","71","79","1.23","2.75","-1.52","3.23","2.41","13580"
"Miguel Socolovich","Braves","7.20","3.60","2.00","0.00","16.0%","8.0%","8.0%",".348","2.00",".421","40.0%","265","68","125","10.80","2.76","8.04","5.07","4.61","6697"
"Dan Winkler","Braves","10.29","2.98","3.45","0.45","27.1%","7.8%","19.2%",".226","1.19",".310","68.7%","84","68","91","3.43","2.76","0.67","3.70","3.27","12237"
"Anthony Bass","Cubs","8.22","1.76","4.67","0.59","22.6%","4.8%","17.7%",".305","1.37",".386","76.5%","73","68","71","2.93","2.77","0.17","2.89","2.95","7982"
"Justin Verlander","Astros","12.20","1.56","7.84","1.18","34.8%","4.4%","30.4%",".198","0.90",".272","85.3%","61","67","72","2.52","2.78","-0.26","3.03","2.63","8700"
"Jeremy Jeffress","Brewers","10.45","3.17","3.30","0.59","29.8%","9.0%","20.7%",".181","0.99",".249","92.9%","32","68","70","1.29","2.78","-1.49","2.86","2.87","9490"
"Hector Rondon","Astros","10.22","3.05","3.35","0.61","26.8%","8.0%","18.8%",".252","1.32",".340","77.4%","78","67","80","3.20","2.79","0.42","3.39","3.24","2391"
"Noah Syndergaard","Mets","9.04","2.27","3.97","0.52","24.1%","6.1%","18.0%",".247","1.21",".320","76.6%","80","70","81","3.03","2.80","0.23","3.29","3.55","11762"
"Erik Kratz","Brewers","6.00","3.00","2.00","0.00","16.7%","8.3%","8.3%",".273","1.33",".333","50.0%","74","69","97","3.00","2.83","0.17","3.93","3.67","4403"
"Matt Davidson","White Sox","6.00","3.00","2.00","0.00","18.2%","9.1%","9.1%",".100","0.67",".125","100.0%","0","66","93","0.00","2.83","-2.83","3.93","4.34","7226"
"Alec Asher","Brewers","6.00","3.00","2.00","0.00","15.4%","7.7%","7.7%",".167","1.00",".200","100.0%","0","69","138","0.00","2.83","-2.83","5.58","4.95","13560"
"Ryan Brasier","Red Sox","7.75","1.87","4.14","0.53","23.4%","5.7%","17.7%",".162","0.77",".198","86.2%","36","68","89","1.60","2.83","-1.23","3.78","3.45","5615"
"Kyle Crockett","Reds","10.61","1.93","5.50","0.96","23.9%","4.4%","19.6%",".364","1.93",".469","60.2%","140","68","75","5.79","2.84","2.95","3.04","3.14","15033"
"John Curtiss","Twins","9.95","5.68","1.75","0.00","23.3%","13.3%","10.0%",".308","1.89",".421","66.7%","132","67","122","5.68","2.85","2.84","5.19","4.80","16128"
"Mike Soroka","Braves","7.36","2.45","3.00","0.35","18.6%","6.2%","12.4%",".283","1.44",".345","64.6%","86","71","89","3.51","2.85","0.66","3.63","4.17","18383"
"Seranthony Dominguez","Phillies","11.48","3.41","3.36","0.62","32.0%","9.5%","22.5%",".156","0.93",".220","74.4%","73","68","74","2.95","2.85","0.10","3.04","2.81","19249"
"Spencer Turnbull","Tigers","8.27","2.20","3.75","0.55","21.7%","5.8%","15.9%",".262","1.29",".327","51.0%","140","67","80","6.06","2.85","3.21","3.37","3.76","16207"
"Chad Green","Yankees","11.18","1.78","6.27","1.07","31.5%","5.0%","26.5%",".227","1.04",".307","86.1%","59","66","75","2.50","2.86","-0.36","3.19","2.59","15552"
"Scott Oberg","Rockies","8.74","1.84","4.75","0.61","25.0%","5.3%","19.7%",".211","0.97",".270","79.0%","53","66","69","2.45","2.87","-0.42","2.83","2.72","13911"
"C.D. Pelham","Rangers","8.22","4.70","1.75","0.00","18.4%","10.5%","7.9%",".353","2.09",".444","62.5%","151","66","89","7.04","2.90","4.14","3.76","4.22","19820"
"Joe Jimenez","Tigers","11.20","3.16","3.55","0.72","29.2%","8.2%","21.0%",".219","1.20",".302","62.0%","100","68","90","4.31","2.91","1.40","3.82","3.14","15761"
"Carl Edwards Jr.","Cubs","11.60","5.54","2.09","0.35","30.2%","14.4%","15.8%",".189","1.31",".281","78.2%","65","72","101","2.60","2.93","-0.33","4.11","3.85","13607"
"Carlos Carrasco","Indians","10.83","2.02","5.37","0.98","29.5%","5.5%","24.0%",".235","1.13",".315","74.8%","76","70","69","3.38","2.94","0.43","2.90","3.03","6632"
"Blake Snell","Rays","11.01","3.19","3.45","0.80","31.6%","9.1%","22.4%",".176","0.97",".241","88.0%","46","72","75","1.89","2.95","-1.05","3.16","3.30","13543"
"Xavier Cedeno","- - -","9.18","4.32","2.13","0.27","24.3%","11.4%","12.9%",".210","1.26",".281","78.8%","58","70","84","2.43","2.95","-0.52","3.50","3.70","36"
"Luis Severino","Yankees","10.35","2.16","4.78","0.89","28.2%","5.9%","22.3%",".237","1.14",".314","75.0%","80","68","73","3.39","2.95","0.43","3.10","3.26","15890"
"Yency Almonte","Rockies","8.59","2.45","3.50","0.61","23.3%","6.7%","16.7%",".268","1.30",".341","79.6%","40","68","76","1.84","2.96","-1.12","3.08","3.29","15068"
"Brandon Morrow","Cubs","9.10","2.64","3.44","0.59","25.4%","7.4%","18.0%",".214","1.08",".278","93.0%","37","73","78","1.47","2.97","-1.50","3.19","3.13","9346"
"Keone Kela","- - -","11.42","3.29","3.47","0.87","31.1%","9.0%","22.2%",".197","1.10",".270","76.0%","74","69","79","3.29","2.97","0.32","3.31","2.99","14696"
"Tony Barnette","Rangers","8.89","1.71","5.20","0.68","25.0%","4.8%","20.2%",".196","0.91",".246","64.7%","51","68","78","2.39","2.97","-0.58","3.30","2.96","3555"
"David Robertson","Yankees","11.76","3.36","3.50","0.90","32.2%","9.2%","23.0%",".179","1.03",".245","67.5%","76","69","73","3.23","2.97","0.26","3.09","2.88","8241"
"Juan Nicasio","Mariners","11.36","1.07","10.60","1.29","29.0%","2.7%","26.2%",".301","1.38",".402","58.1%","146","72","75","6.00","2.99","3.01","3.18","2.60","7731"
"Hyun-Jin Ryu","Dodgers","9.73","1.64","5.93","0.98","27.5%","4.6%","22.8%",".221","1.01",".281","85.4%","51","75","76","1.97","3.00","-1.04","3.11","3.18","14444"
"Zach Duke","- - -","8.83","3.63","2.43","0.17","21.3%","8.8%","12.5%",".268","1.50",".348","67.8%","98","71","88","4.15","3.01","1.15","3.74","3.53","3840"
"Aaron Nola","Phillies","9.49","2.46","3.86","0.72","27.0%","7.0%","20.0%",".195","0.97",".251","82.5%","59","72","79","2.37","3.01","-0.64","3.21","3.40","16149"
"John Brebbia","Cardinals","10.66","2.84","3.75","0.89","28.7%","7.7%","21.1%",".223","1.16",".297","78.9%","82","76","93","3.20","3.02","0.17","3.79","3.17","12777"
"Corey Knebel","Brewers","14.31","3.58","4.00","1.14","39.5%","9.9%","29.6%",".193","1.08",".304","75.7%","88","74","59","3.58","3.03","0.54","2.40","2.29","15010"
"Walker Buehler","Dodgers","9.90","2.42","4.08","0.79","27.9%","6.8%","21.1%",".191","0.96",".248","78.4%","68","76","79","2.62","3.04","-0.42","3.21","3.31","19374"
"Jonathan Holder","Yankees","8.18","2.59","3.16","0.55","22.1%","7.0%","15.1%",".210","1.09",".261","68.3%","74","71","109","3.14","3.04","0.10","4.63","3.98","16588"
"Jose Alvarez","Angels","8.43","3.14","2.68","0.43","22.6%","8.4%","14.2%",".215","1.16",".274","77.7%","65","72","94","2.71","3.05","-0.34","3.98","3.78","5358"
"Mychal Givens","Orioles","9.27","3.52","2.63","0.47","24.9%","9.5%","15.5%",".215","1.19",".284","64.5%","92","70","97","3.99","3.07","0.92","4.11","3.72","10430"
"Ken Giles","- - -","9.48","1.25","7.57","1.07","25.0%","3.3%","21.7%",".265","1.21",".331","63.4%","111","73","77","4.65","3.08","1.57","3.27","2.96","12910"
"Trevor May","Twins","12.79","1.78","7.20","1.42","35.0%","4.9%","30.1%",".216","1.03",".298","84.1%","74","73","59","3.20","3.08","0.12","2.46","2.17","6398"
"Roenis Elias","Mariners","6.00","2.82","2.13","0.18","16.2%","7.6%","8.6%",".238","1.22",".285","74.7%","65","74","117","2.65","3.08","-0.44","4.97","4.73","12673"
"Dylan Floro","- - -","8.16","3.23","2.52","0.42","21.4%","8.5%","12.9%",".231","1.25",".290","83.3%","56","75","92","2.25","3.08","-0.83","3.74","3.65","13394"
"Luis Avilan","- - -","10.13","3.57","2.83","0.60","25.9%","9.1%","16.8%",".249","1.37",".333","70.2%","91","73","96","3.77","3.09","0.68","4.02","3.57","2882"
"Paul Fry","Orioles","8.60","3.58","2.40","0.24","22.6%","9.4%","13.2%",".236","1.27",".311","63.2%","77","70","88","3.35","3.11","0.24","3.73","3.52","15832"
"Corey Kluber","Indians","9.29","1.42","6.53","1.05","26.4%","4.0%","22.3%",".222","0.99",".276","77.9%","65","74","73","2.89","3.12","-0.24","3.08","3.23","2429"
"Craig Kimbrel","Red Sox","13.86","4.48","3.10","1.01","38.9%","12.6%","26.3%",".145","0.99",".216","83.0%","61","75","74","2.74","3.13","-0.39","3.13","2.71","6655"
"Nick Wittgren","Marlins","8.29","4.01","2.07","0.27","21.0%","10.1%","10.8%",".220","1.31",".280","73.4%","77","79","112","2.94","3.13","-0.19","4.56","4.20","15594"
"Kyle Crick","Pirates","9.70","3.43","2.83","0.45","25.5%","9.0%","16.5%",".200","1.13",".268","80.5%","60","77","98","2.39","3.14","-0.76","4.00","3.57","13182"
"Brandon Guyer","Indians","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".000","0.00",".000","100.0%","0","75","152","0.00","3.16","-3.16","6.46","7.37","2636"
"Charlie Culberson","Braves","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".400","2.00",".400","50.0%","221","78","78","9.00","3.16","5.84","3.16","1.07","3298"
"Pablo Sandoval","Giants","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".000","0.00",".000","100.0%","0","82","78","0.00","3.16","-3.16","3.16","-1.16","5409"
"Jesus Sucre","Rays","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".571","4.00",".571","50.0%","437","78","191","18.00","3.16","14.84","8.12","5.63","5942"
"Chase d'Arnaud","Giants","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".250","1.00",".250","100.0%","0","82","200","0.00","3.16","-3.16","8.12","10.55","6652"
"Alex Avila","Diamondbacks","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".143","0.50",".143","100.0%","0","78","160","0.00","3.16","-3.16","6.46","7.95","7476"
"Greg Garcia","Cardinals","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".333","1.00",".333","100.0%","0","79","119","0.00","3.16","-3.16","4.81","4.75","10951"
"Daniel Robertson","Rays","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".000","0.00",".000","100.0%","0","78","152","0.00","3.16","-3.16","6.46","9.78","14145"
"J.B. Wendelken","Athletics","7.56","2.70","2.80","0.54","22.6%","8.1%","14.5%",".140","0.78",".167","100.0%","13","77","108","0.54","3.16","-2.62","4.56","3.90","14506"
"Mitch Garver","Twins","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".250","1.00",".250","100.0%","0","74","114","0.00","3.16","-3.16","4.81","5.18","15161"
"Ian Happ","Cubs","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".250","1.00",".250","100.0%","0","77","119","0.00","3.16","-3.16","4.81","5.18","17919"
"Scott Kingery","Phillies","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".500","3.00",".500","50.0%","334","76","108","13.50","3.16","10.34","4.40","4.51","17975"
"Anthony Rizzo","Cubs","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".000","0.00",".000","100.0%","0","77","200","0.00","3.16","-3.16","8.12","13.28","3473"
"Pedro Baez","Dodgers","9.91","3.67","2.70","0.64","26.2%","9.7%","16.5%",".216","1.22",".286","79.2%","75","79","101","2.88","3.16","-0.29","4.11","3.64","5420"
"Mark Reynolds","Nationals","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".000","0.00",".000","100.0%","0","76","78","0.00","3.16","-3.16","3.16","-1.16","7619"
"Carlos Tocci","Rangers","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".000","0.00",".000","100.0%","0","72","191","0.00","3.16","-3.16","8.12","13.28","14558"
"Phillip Ervin","Reds","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".000","0.00",".000","100.0%","0","76","78","0.00","3.16","-3.16","3.16","-1.16","14738"
"Osmer Morales","Angels","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".500","3.00",".500","100.0%","0","75","75","0.00","3.16","-3.16","3.16","3.68","17133"
"Seth Lugo","Mets","9.15","2.49","3.68","0.80","25.1%","6.8%","18.3%",".213","1.08",".269","76.2%","70","79","86","2.66","3.17","-0.51","3.48","3.36","12447"
"Clayton Kershaw","Dodgers","8.65","1.62","5.34","0.95","23.9%","4.5%","19.4%",".225","1.04",".273","78.7%","71","80","78","2.73","3.19","-0.45","3.19","3.45","2036"
"Brad Hand","- - -","13.25","3.50","3.79","1.00","35.2%","9.3%","25.9%",".197","1.11",".293","78.4%","68","78","72","2.75","3.20","-0.45","2.97","2.60","9111"
"Kenta Maeda","Dodgers","10.99","3.09","3.56","0.93","28.8%","8.1%","20.7%",".238","1.26",".321","72.5%","99","80","83","3.81","3.22","0.59","3.37","3.42","18498"
"Shawn Armstrong","Mariners","9.20","1.84","5.00","0.61","26.3%","5.3%","21.1%",".176","0.82",".229","95.6%","30","78","95","1.23","3.23","-2.00","4.03","3.09","12857"
"Shane Bieber","Indians","9.26","1.81","5.13","1.02","24.3%","4.7%","19.6%",".283","1.33",".356","69.4%","102","76","78","4.55","3.23","1.32","3.30","3.45","19427"
"James Paxton","Mariners","11.68","2.36","4.95","1.29","32.3%","6.5%","25.7%",".223","1.10",".299","76.0%","92","78","72","3.76","3.24","0.53","3.02","2.96","11828"
"Reyes Moronta","Giants","10.94","5.12","2.14","0.55","30.2%","14.1%","16.0%",".151","1.09",".211","78.0%","65","84","98","2.49","3.24","-0.75","3.99","3.77","14966"
"Oliver Drake","- - -","9.63","3.21","3.00","0.76","24.4%","8.1%","16.3%",".272","1.45",".353","63.7%","125","77","84","5.29","3.24","2.04","3.51","3.48","8823"
"Phil Maton","Padres","10.46","4.37","2.39","0.57","25.7%","10.8%","15.0%",".265","1.54",".359","70.6%","112","80","106","4.37","3.25","1.13","4.31","3.81","18064"
"Zack Wheeler","Mets","8.84","2.71","3.25","0.69","24.1%","7.4%","16.7%",".221","1.12",".279","74.6%","87","81","94","3.31","3.25","0.06","3.81","3.87","10310"
"Silvino Bracho","Diamondbacks","9.87","3.48","2.83","0.58","26.4%","9.3%","17.1%",".219","1.19",".295","75.3%","79","81","103","3.19","3.26","-0.06","4.18","3.56","15051"
"Colten Brewer","Padres","9.31","6.52","1.43","0.00","20.4%","14.3%","6.1%",".357","2.28",".469","54.6%","143","81","114","5.59","3.26","2.32","4.63","4.68","12997"
"Miguel Diaz","Padres","14.46","5.79","2.50","0.96","35.3%","14.1%","21.2%",".219","1.50",".341","67.5%","123","81","87","4.82","3.27","1.55","3.56","3.25","18815"
"Jared Hughes","Reds","6.75","2.63","2.57","0.46","19.8%","7.7%","12.1%",".209","1.02",".252","85.1%","47","79","83","1.94","3.28","-1.33","3.39","3.25","9325"
"Cory Mazzoni","Cubs","7.27","5.19","1.40","0.00","19.4%","13.9%","5.6%",".161","1.15",".208","90.0%","26","80","109","1.04","3.28","-2.24","4.42","4.58","12537"
"Miles Mikolas","Cardinals","6.55","1.30","5.03","0.72","18.1%","3.6%","14.5%",".241","1.07",".279","76.2%","73","82","90","2.83","3.28","-0.46","3.67","3.93","9803"
