"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid"
"Cesar Cabral","Yankees","14.73","2.45","6.00","0.00","40.0%","6.7%","33.3%",".231","1.09",".429","80.0%","61","35","45","2.45","1.41","1.04","1.78","1.41","6741"
"Jesse Crain","White Sox","11.29","2.70","4.18","0.00","30.3%","7.2%","23.0%",".221","1.15",".330","86.1%","18","38","74","0.74","1.52","-0.78","2.94","2.42","4817"
"Stephen Pryor","Mariners","8.59","1.23","7.00","0.00","26.9%","3.9%","23.1%",".120","0.55",".167","100.0%","0","40","72","0.00","1.55","-1.55","2.85","2.40","10663"
"Duke Welker","Pirates","6.75","0.00","1.00","0.00","25.0%","0.0%","25.0%",".000","0.00",".000","100.0%","0","42","95","0.00","1.55","-1.55","3.60","2.84","792"
"Koji Uehara","Red Sox","12.23","1.09","11.22","0.61","38.1%","3.4%","34.7%",".129","0.57",".188","91.7%","26","42","53","1.09","1.61","-0.52","2.08","1.29","9227"
"Mark Melancon","Pirates","8.87","1.01","8.75","0.13","25.1%","2.9%","22.2%",".222","0.96",".296","79.9%","39","44","54","1.39","1.64","-0.25","2.05","1.73","4264"
"Stolmy Pimentel","Pirates","8.68","1.93","4.50","0.00","23.7%","5.3%","18.4%",".167","0.86",".222","50.0%","54","48","89","1.93","1.76","0.17","3.37","2.90","6415"
"Sergio Santos","Blue Jays","9.82","1.40","7.00","0.35","31.1%","4.4%","26.7%",".128","0.58",".175","73.5%","43","46","66","1.75","1.84","-0.09","2.61","1.98","4734"
"Cody Eppley","Yankees","5.40","0.00","1.00","0.00","12.5%","0.0%","12.5%",".500","2.40",".571","0.0%","533","45","47","21.60","1.85","19.75","1.85","-0.22","9095"
"Luis Perez","Blue Jays","10.80","3.60","3.00","0.00","28.6%","9.5%","19.1%",".211","1.20",".308","50.0%","133","46","67","5.40","1.85","3.55","2.67","2.59","6389"
"Joe Martinez","Indians","5.40","0.00","3.00","0.00","15.8%","0.0%","15.8%",".211","0.80",".250","75.0%","45","47","95","1.80","1.85","-0.05","3.76","3.90","3935"
"Danny Farquhar","Mariners","12.77","3.56","3.59","0.32","34.7%","9.7%","25.0%",".214","1.19",".336","58.5%","109","48","61","4.20","1.86","2.34","2.40","2.23","8501"
"Trevor Rosenthal","Cardinals","12.90","2.39","5.40","0.48","34.7%","6.4%","28.3%",".221","1.10",".341","76.7%","72","51","62","2.63","1.91","0.72","2.34","1.85","10745"
"Craig Kimbrel","Braves","13.16","2.69","4.90","0.54","38.0%","7.8%","30.2%",".166","0.88",".263","92.2%","33","52","51","1.21","1.93","-0.72","1.95","1.67","6655"
"Jason Grilli","Pirates","13.32","2.34","5.69","0.72","36.6%","6.4%","30.2%",".213","1.06",".327","80.6%","75","53","58","2.70","1.97","0.73","2.21","1.71","521"
"Sean Marshall","Reds","8.71","1.74","5.00","0.00","27.0%","5.4%","21.6%",".118","0.58",".167","57.1%","46","51","74","1.74","1.98","-0.24","2.78","2.17","5905"
"Kenley Jansen","Dodgers","13.03","2.11","6.17","0.70","38.0%","6.2%","31.9%",".177","0.86",".273","87.5%","52","53","54","1.88","1.99","-0.11","2.06","1.55","3096"
"Matt Harvey","Mets","9.64","1.56","6.16","0.35","27.7%","4.5%","23.2%",".206","0.93",".280","77.4%","64","53","70","2.27","2.00","0.27","2.63","2.63","11713"
"Brian Wilson","Dodgers","8.56","2.63","3.25","0.00","26.5%","8.2%","18.4%",".178","0.88",".250","91.7%","18","54","75","0.66","2.02","-1.36","2.82","2.58","6485"
"Louis Coleman","Royals","9.71","1.82","5.33","0.30","29.1%","5.5%","23.6%",".184","0.84",".257","97.6%","15","52","68","0.61","2.04","-1.43","2.70","2.30","9720"
"Nick Vincent","Padres","9.52","2.14","4.45","0.19","27.2%","6.1%","21.1%",".198","0.95",".274","78.5%","60","55","77","2.14","2.06","0.08","2.89","2.55","7555"
"Michael Tonkin","Twins","7.94","2.38","3.33","0.00","21.3%","6.4%","14.9%",".205","1.06",".265","50.0%","20","53","89","0.79","2.08","-1.28","3.52","3.25","10315"
"Bobby LaFromboise","Mariners","9.28","3.38","2.75","0.00","23.4%","8.5%","14.9%",".279","1.50",".375","50.0%","154","54","89","5.91","2.11","3.80","3.52","3.30","7758"
"Dan Otero","Athletics","6.23","1.38","4.50","0.00","17.0%","3.8%","13.2%",".275","1.23",".333","85.4%","36","55","80","1.38","2.12","-0.74","3.18","2.93","7385"
"Neal Cotts","Rangers","10.26","2.84","3.61","0.32","29.2%","8.1%","21.1%",".176","0.95",".246","89.8%","26","54","71","1.11","2.17","-1.07","2.82","2.56","1797"
"Matt Shoemaker","Angels","9.00","3.60","2.50","0.00","26.3%","10.5%","15.8%",".118","0.80",".167","100.0%","0","59","84","0.00","2.25","-2.25","3.34","3.55","4776"
"Taijuan Walker","Mariners","7.20","2.40","3.00","0.00","20.0%","6.7%","13.3%",".196","1.00",".250","53.3%","94","58","96","3.60","2.25","1.35","3.80","3.87","11836"
"Joe Nathan","Rangers","10.16","3.06","3.32","0.28","29.2%","8.8%","20.4%",".159","0.90",".224","87.2%","33","56","83","1.39","2.26","-0.87","3.27","2.75","1122"
"Kevin Siegrist","Cardinals","11.34","4.08","2.78","0.23","32.9%","11.8%","21.1%",".128","0.88",".195","98.3%","12","61","79","0.45","2.29","-1.84","3.00","2.69","8180"
"Jean Machi","Giants","8.66","2.04","4.25","0.34","24.2%","5.7%","18.5%",".231","1.09",".301","77.9%","69","65","74","2.38","2.29","0.08","2.78","2.54","3220"
"Drew Smyly","Tigers","9.59","2.01","4.76","0.47","26.7%","5.6%","21.1%",".218","1.04",".290","80.7%","59","58","76","2.37","2.31","0.06","2.99","2.57","11760"
"Alex Torres","Rays","9.62","3.10","3.10","0.16","27.4%","8.9%","18.6%",".158","0.90",".221","80.2%","44","60","83","1.71","2.32","-0.62","3.30","2.87","7038"
"Bobby Parnell","Mets","7.92","2.16","3.67","0.18","22.2%","6.1%","16.2%",".205","1.00",".264","68.6%","61","61","81","2.16","2.33","-0.17","3.05","2.83","9926"
"Daniel Webb","White Sox","7.94","3.18","2.50","0.00","21.7%","8.7%","13.0%",".214","1.15",".281","69.2%","78","57","80","3.18","2.34","0.83","3.19","3.05","10558"
"Charles Brewer","Diamondbacks","7.50","3.00","2.50","0.00","18.5%","7.4%","11.1%",".320","1.67",".400","80.0%","77","63","100","3.00","2.38","0.62","3.75","3.58","9155"
"Clayton Kershaw","Dodgers","8.85","1.98","4.46","0.42","25.6%","5.7%","19.8%",".192","0.92",".251","80.6%","51","64","76","1.83","2.39","-0.56","2.88","2.99","2036"
"Anibal Sanchez","Tigers","9.99","2.67","3.74","0.45","27.1%","7.2%","19.8%",".226","1.15",".307","78.2%","64","60","74","2.57","2.39","0.18","2.91","3.03","3284"
"Michael Roth","Angels","7.65","2.70","2.83","0.00","19.1%","6.7%","12.4%",".293","1.50",".369","48.4%","190","63","92","7.20","2.40","4.80","3.63","3.53","13736"
"Mauricio Robles","Phillies","11.57","5.79","2.00","0.00","24.0%","12.0%","12.0%",".318","2.14",".438","70.0%","51","62","111","1.93","2.40","-0.48","4.16","3.60","8895"
"Javier Lopez","Giants","8.47","2.75","3.08","0.23","23.0%","7.5%","15.5%",".201","1.07",".261","78.8%","53","68","77","1.83","2.41","-0.58","2.92","2.72","1663"
"Tanner Roark","Nationals","6.71","1.84","3.64","0.17","19.6%","5.4%","14.2%",".197","0.91",".243","79.8%","40","65","83","1.51","2.41","-0.90","3.14","3.27","8753"
"Jenrry Mejia","Mets","8.89","1.32","6.75","0.66","24.1%","3.6%","20.5%",".259","1.17",".329","78.8%","65","65","61","2.30","2.46","-0.16","2.31","2.42","8476"
"Aroldis Chapman","Reds","15.83","4.10","3.86","0.99","43.4%","11.2%","32.2%",".164","1.04",".280","86.2%","67","63","55","2.54","2.47","0.08","2.07","1.66","10233"
"B.J. Rosenberg","Phillies","8.69","4.12","2.11","0.00","22.1%","10.5%","11.6%",".260","1.47",".345","65.5%","122","65","114","4.58","2.49","2.09","4.29","3.75","7183"
"Glen Perkins","Twins","11.06","2.15","5.13","0.72","32.1%","6.3%","25.8%",".194","0.93",".271","83.3%","57","63","66","2.30","2.49","-0.19","2.61","2.11","8041"
"Jake Diekman","Phillies","9.63","3.76","2.56","0.23","25.0%","9.8%","15.2%",".230","1.30",".311","72.0%","69","65","76","2.58","2.50","0.08","2.87","2.98","5003"
"Steve Cishek","Marlins","9.56","2.84","3.36","0.39","26.3%","7.8%","18.5%",".206","1.08",".278","79.7%","63","69","79","2.33","2.52","-0.19","2.98","2.69","6483"
"Robert Coello","Angels","12.18","4.24","2.88","0.53","31.5%","11.0%","20.6%",".215","1.29",".317","72.8%","98","66","83","3.71","2.52","1.19","3.28","2.86","1149"
"Brandon Kintzler","Brewers","6.78","1.87","3.63","0.23","19.0%","5.3%","13.8%",".229","1.06",".281","71.1%","69","65","78","2.69","2.54","0.15","2.93","2.74","9939"
"Steven Ames","Marlins","9.00","4.50","2.00","0.00","21.1%","10.5%","10.5%",".353","2.00",".462","75.0%","122","70","86","4.50","2.55","1.95","3.23","3.29","9615"
"Adam Wainwright","Cardinals","8.16","1.30","6.26","0.56","22.9%","3.7%","19.3%",".244","1.07",".305","74.5%","80","68","74","2.94","2.55","0.39","2.80","2.94","2233"
"Randy Choate","Cardinals","7.13","2.80","2.55","0.00","19.9%","7.8%","12.1%",".203","1.05",".260","76.9%","63","69","88","2.29","2.57","-0.27","3.30","2.81","813"
"Francisley Bueno","Royals","5.40","2.16","2.50","0.00","16.1%","6.5%","9.7%",".138","0.72",".167","100.0%","0","66","102","0.00","2.57","-2.57","4.04","3.85","5980"
"Felix Hernandez","Mariners","9.51","2.03","4.70","0.66","26.3%","5.6%","20.7%",".239","1.13",".314","75.1%","79","67","67","3.04","2.61","0.43","2.66","2.77","4772"
"David Robertson","Yankees","10.45","2.44","4.28","0.68","29.4%","6.9%","22.5%",".211","1.04",".288","87.5%","50","64","66","2.04","2.61","-0.58","2.60","2.30","8241"
"Brandon Cumpton","Pirates","6.46","1.47","4.40","0.29","17.7%","4.0%","13.7%",".220","1.01",".263","78.4%","57","71","90","2.05","2.62","-0.57","3.40","3.39","11366"
"Nate Jones","White Sox","10.27","3.00","3.42","0.58","28.3%","8.3%","20.0%",".240","1.22",".330","62.9%","102","65","70","4.15","2.64","1.52","2.77","2.56","4696"
"Alex Wood","Braves","8.92","3.13","2.85","0.35","23.6%","8.3%","15.3%",".254","1.33",".333","75.2%","85","72","84","3.13","2.65","0.48","3.18","3.31","13781"
"Dan Jennings","Marlins","8.41","3.54","2.38","0.22","22.2%","9.4%","12.9%",".252","1.35",".328","70.9%","102","73","96","3.76","2.68","1.08","3.60","3.39","8073"
"Donnie Joseph","Royals","11.12","6.35","1.75","0.00","28.0%","16.0%","12.0%",".190","1.41",".286","100.0%","0","69","104","0.00","2.69","-2.69","4.14","3.85","6491"
"Luke Gregerson","Padres","8.68","2.44","3.56","0.41","23.9%","6.7%","17.2%",".199","1.01",".257","70.4%","76","73","89","2.71","2.70","0.01","3.37","2.96","4090"
"Sonny Gray","Athletics","9.42","2.81","3.35","0.56","25.7%","7.7%","18.0%",".212","1.11",".276","74.9%","69","70","74","2.67","2.70","-0.03","2.92","3.04","12768"
"Sean Doolittle","Athletics","7.83","1.70","4.62","0.52","22.6%","4.9%","17.7%",".211","0.96",".262","70.5%","81","70","93","3.13","2.71","0.42","3.68","3.13","1581"
"Chris Dwyer","Royals","6.00","3.00","2.00","0.00","18.2%","9.1%","9.1%",".200","1.00",".250","100.0%","0","69","103","0.00","2.71","-2.71","4.08","3.87","10045"
"Steve Delabar","Blue Jays","12.58","4.45","2.83","0.61","32.4%","11.5%","21.0%",".225","1.35",".338","74.3%","79","68","85","3.22","2.72","0.50","3.35","2.75","11827"
"Jose Fernandez","Marlins","9.75","3.02","3.22","0.52","27.5%","8.5%","18.9%",".180","0.98",".240","79.4%","60","75","82","2.19","2.73","-0.54","3.08","3.15","11530"
"Ryan Cook","Athletics","8.96","3.34","2.68","0.27","22.8%","8.5%","14.3%",".234","1.29",".306","78.2%","65","70","94","2.54","2.74","-0.20","3.71","3.27","8855"
"Max Scherzer","Tigers","10.08","2.35","4.29","0.76","28.7%","6.7%","22.0%",".196","0.97",".259","74.4%","72","69","80","2.90","2.74","0.16","3.16","2.91","3137"
"Will Harris","Diamondbacks","9.06","2.56","3.53","0.51","24.4%","6.9%","17.5%",".250","1.23",".326","79.6%","75","73","83","2.91","2.74","0.16","3.12","2.84","3192"
"Casey Janssen","Blue Jays","8.54","2.22","3.85","0.51","23.8%","6.2%","17.6%",".200","0.99",".254","74.3%","63","68","78","2.56","2.74","-0.18","3.09","2.81","7355"
"Kris Johnson","Pirates","7.84","3.48","2.25","0.00","19.6%","8.7%","10.9%",".293","1.55",".375","58.8%","170","75","105","6.10","2.76","3.34","3.95","3.65","886"
"Clay Buchholz","Red Sox","7.98","2.99","2.67","0.33","23.1%","8.7%","14.4%",".198","1.02",".254","83.7%","42","72","86","1.74","2.78","-1.04","3.41","3.59","3543"
"Kyuji Fujikawa","Cubs","10.50","1.50","7.00","0.75","28.0%","4.0%","24.0%",".239","1.08",".323","58.8%","140","74","76","5.25","2.80","2.45","2.85","2.15","14443"
"A.J. Burnett","Pirates","9.85","3.16","3.12","0.52","26.1%","8.4%","17.7%",".228","1.21",".305","71.8%","92","76","77","3.30","2.80","0.50","2.92","3.03","512"
"Jordan Walden","Braves","10.34","2.68","3.86","0.77","28.0%","7.3%","20.7%",".219","1.13",".292","72.3%","94","77","93","3.45","2.81","0.63","3.51","2.78","3271"
"Craig Stammen","Nationals","8.71","2.98","2.93","0.44","23.3%","8.0%","15.3%",".252","1.29",".326","75.9%","73","75","82","2.76","2.82","-0.06","3.08","2.81","7274"
"Cliff Lee","Phillies","8.97","1.29","6.94","0.89","25.3%","3.7%","21.7%",".230","1.01",".287","76.7%","77","73","74","2.87","2.82","0.05","2.78","2.83","1636"
"David Carpenter","Braves","10.14","2.74","3.70","0.69","28.9%","7.8%","21.1%",".193","0.99",".260","90.2%","48","77","83","1.78","2.83","-1.05","3.11","2.61","3959"
"Fernando Rodney","Rays","11.07","4.86","2.28","0.41","28.3%","12.4%","15.9%",".209","1.34",".298","73.4%","88","73","79","3.38","2.84","0.54","3.11","3.10","494"
"Dellin Betances","Yankees","18.00","3.60","5.00","1.80","38.5%","7.7%","30.8%",".375","2.20",".615","52.1%","267","70","34","10.80","2.85","7.95","1.34","1.66","6216"
"Sergio Romo","Giants","8.65","1.79","4.83","0.75","23.2%","4.8%","18.4%",".224","1.08",".276","78.0%","73","81","85","2.54","2.85","-0.31","3.20","2.87","9817"
"Yusmeiro Petit","Giants","8.81","2.06","4.27","0.75","24.0%","5.6%","18.4%",".249","1.19",".313","73.9%","103","81","92","3.56","2.86","0.70","3.48","3.35","4020"
"Joaquin Benoit","Tigers","9.81","2.96","3.32","0.67","27.6%","8.3%","19.3%",".194","1.03",".256","87.3%","50","72","80","2.01","2.87","-0.85","3.16","2.79","1437"
"Brett Cecil","Blue Jays","10.38","3.41","3.04","0.59","28.0%","9.2%","18.8%",".196","1.10",".267","77.6%","69","72","76","2.82","2.88","-0.06","2.99","2.72","2660"
"J.P. Howell","Dodgers","7.84","3.34","2.35","0.29","22.0%","9.4%","12.6%",".189","1.05",".241","80.7%","61","77","92","2.18","2.89","-0.71","3.48","3.23","8245"
"Blake Parker","Cubs","10.68","2.91","3.67","0.78","28.2%","7.7%","20.5%",".219","1.17",".294","77.4%","73","76","94","2.72","2.90","-0.18","3.54","2.81","5224"
"Gonzalez Germen","Mets","8.65","4.19","2.06","0.26","22.2%","10.7%","11.4%",".241","1.40",".313","70.8%","110","77","110","3.93","2.90","1.03","4.16","3.75","5876"
"Brian Matusz","Orioles","8.82","2.82","3.13","0.53","24.0%","7.7%","16.4%",".226","1.16",".292","70.4%","86","71","91","3.53","2.91","0.62","3.59","3.13","2646"
"Gerrit Cole","Pirates","7.67","2.15","3.57","0.54","21.3%","6.0%","15.4%",".249","1.17",".308","74.5%","90","79","83","3.22","2.91","0.31","3.14","3.34","13125"
"Francisco Liriano","Pirates","9.11","3.52","2.59","0.50","24.5%","9.5%","15.0%",".222","1.22",".290","77.6%","84","79","83","3.02","2.92","0.10","3.12","3.43","3201"
"Michael Wacha","Cardinals","9.05","2.64","3.42","0.70","25.0%","7.3%","17.7%",".216","1.10",".275","79.7%","76","78","89","2.78","2.92","-0.14","3.36","3.25","14078"
"Jimmy Nelson","Brewers","7.20","4.50","1.60","0.00","21.6%","13.5%","8.1%",".063","0.70",".083","85.7%","23","75","100","0.90","2.95","-2.05","3.77","4.24","10547"
"Luke Hochevar","Royals","10.49","2.18","4.82","1.02","31.3%","6.5%","24.8%",".168","0.82",".214","92.1%","48","76","73","1.92","2.96","-1.04","2.90","2.26","6943"
"Sam LeCure","Reds","9.74","3.54","2.75","0.59","26.3%","9.6%","16.7%",".221","1.21",".295","82.1%","70","76","88","2.66","2.97","-0.31","3.32","3.05","4664"
"Sam Freeman","Cardinals","5.84","3.65","1.60","0.00","16.0%","10.0%","6.0%",".178","1.05",".216","76.9%","60","80","123","2.19","2.97","-0.78","4.63","4.41","6832"
"Matt Reynolds","Diamondbacks","7.57","1.65","4.60","0.66","20.7%","4.5%","16.2%",".238","1.10",".288","85.1%","51","79","88","1.98","2.97","-1.00","3.32","3.11","8887"
"Cody Allen","Indians","11.26","3.33","3.38","0.90","29.2%","8.6%","20.6%",".226","1.25",".307","84.6%","61","76","83","2.43","2.99","-0.56","3.27","2.74","12183"
"Dane de la Rosa","Angels","8.09","3.48","2.32","0.37","22.3%","9.6%","12.7%",".214","1.16",".273","74.3%","76","78","88","2.86","2.99","-0.13","3.49","3.34","10095"
"Antonio Bastardo","Phillies","9.91","4.43","2.24","0.42","26.3%","11.7%","14.5%",".210","1.27",".287","82.4%","62","78","109","2.32","3.00","-0.68","4.09","3.49","8844"
"Bruce Rondon","Tigers","9.42","3.45","2.73","0.63","24.6%","9.0%","15.6%",".252","1.36",".329","77.4%","85","76","81","3.45","3.01","0.44","3.20","3.09","5766"
"Jesse Chavez","Athletics","8.63","3.14","2.75","0.47","22.2%","8.1%","14.1%",".222","1.22",".281","66.9%","101","77","97","3.92","3.01","0.91","3.83","3.36","5448"
"David Price","Rays","7.28","1.30","5.59","0.77","20.4%","3.7%","16.8%",".251","1.10",".298","70.0%","86","78","82","3.33","3.03","0.30","3.27","3.36","3184"
"Matt Belisle","Rockies","7.64","1.85","4.13","0.74","20.6%","5.0%","15.6%",".266","1.25",".321","65.4%","98","75","79","4.32","3.03","1.28","2.99","2.91","1837"
"Drake Britton","Red Sox","7.29","3.00","2.43","0.43","20.2%","8.3%","11.9%",".273","1.33",".339","71.4%","92","79","89","3.86","3.05","0.81","3.53","3.45","2868"
"Mariano Rivera","Yankees","7.59","1.27","6.00","0.84","21.1%","3.5%","17.6%",".236","1.05",".280","87.3%","52","74","78","2.11","3.05","-0.94","3.09","2.84","844"
"Jamey Carroll","Twins","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".000","0.00",".000","100.0%","0","77","111","0.00","3.05","-3.05","4.41","5.59","1591"
"Frank Francisco","Mets","8.53","4.26","2.00","0.00","23.1%","11.5%","11.5%",".182","1.11",".250","62.5%","120","81","115","4.26","3.05","1.22","4.34","3.69","1933"
"Cristhian Martinez","Braves","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".417","2.14",".417","60.0%","209","83","96","7.71","3.05","4.67","3.63","3.21","5337"
"Jonathan Papelbon","Phillies","8.32","1.61","5.18","0.88","22.4%","4.3%","18.1%",".244","1.14",".296","76.7%","78","79","93","2.92","3.05","-0.13","3.51","2.97","5975"
"Andrew Miller","Red Sox","14.09","4.99","2.82","0.88","35.6%","12.6%","23.0%",".216","1.37",".338","80.4%","63","79","62","2.64","3.05","-0.41","2.44","2.42","6785"
"Jake Elmore","Astros","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".000","0.00",".000","100.0%","0","76","111","0.00","3.05","-3.05","4.41","4.28","7290"
"Josh Tomlin","Indians","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".222","1.00",".222","100.0%","0","77","163","0.00","3.05","-3.05","6.46","6.34","9388"
"Everett Teaford","Royals","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".333","1.50",".333","100.0%","0","78","180","0.00","3.05","-3.05","7.15","9.31","3732"
"Jose Mijares","Giants","9.92","3.67","2.70","0.55","22.9%","8.5%","14.4%",".315","1.78",".410","76.9%","122","86","104","4.22","3.05","1.18","3.90","3.37","4140"
"Alberto Gonzalez","Yankees","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".000","0.00",".000","100.0%","0","74","180","0.00","3.05","-3.05","7.15","12.81","4906"
"Josh Harrison","Pirates","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".000","0.00",".000","100.0%","0","83","190","0.00","3.05","-3.05","7.15","12.81","8202"
"Sam Fuld","Rays","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".000","0.00",".000","100.0%","0","79","180","0.00","3.05","-3.05","7.15","12.81","8254"
"Madison Bumgarner","Giants","8.90","2.77","3.21","0.67","24.8%","7.7%","17.1%",".199","1.03",".251","75.7%","80","86","88","2.77","3.05","-0.28","3.32","3.33","5524"
"LaTroy Hawkins","Mets","7.00","1.27","5.50","0.76","19.1%","3.5%","15.6%",".256","1.15",".301","74.7%","82","81","83","2.93","3.06","-0.13","3.12","2.96","729"
"Charlie Furbush","Mariners","11.08","4.02","2.76","0.69","28.6%","10.4%","18.2%",".194","1.18",".264","64.4%","97","79","85","3.74","3.06","0.68","3.37","2.94","1370"
"Manny Parra","Reds","10.96","2.93","3.73","0.98","29.8%","8.0%","21.8%",".233","1.20",".315","77.6%","87","79","74","3.33","3.07","0.26","2.79","2.49","4279"
"Bryan Shaw","Indians","8.76","3.36","2.61","0.48","23.1%","8.9%","14.2%",".211","1.17",".271","70.6%","82","78","90","3.24","3.07","0.17","3.58","3.31","8110"
"Roy Oswalt","Rockies","9.46","2.51","3.78","0.84","22.5%","6.0%","16.6%",".348","1.79",".442","51.1%","197","76","90","8.63","3.08","5.55","3.39","3.38","571"
"Carlos Martinez","Cardinals","7.62","2.86","2.67","0.32","19.4%","7.3%","12.1%",".277","1.41",".345","64.9%","139","83","102","5.08","3.08","2.00","3.83","3.40","11682"
"Alex Wilson","Red Sox","7.16","4.55","1.57","0.00","17.3%","11.0%","6.3%",".304","1.73",".378","67.4%","116","80","121","4.88","3.08","1.80","4.81","4.42","9239"
"Paco Rodriguez","Dodgers","10.44","3.15","3.32","0.83","30.3%","9.1%","21.2%",".160","0.90",".210","81.8%","65","82","77","2.32","3.08","-0.77","2.92","2.57","13398"
"Danny Duffy","Royals","8.14","5.18","1.57","0.00","21.2%","13.5%","7.7%",".213","1.36",".284","85.3%","46","79","116","1.85","3.09","-1.24","4.60","4.64","3542"
"Scott Downs","- - -","7.68","3.95","1.95","0.21","19.6%","10.1%","9.5%",".268","1.48",".338","82.0%","67","82","84","2.49","3.09","-0.60","3.30","3.08","773"
"Mat Latos","Reds","7.99","2.48","3.22","0.60","21.2%","6.6%","14.6%",".242","1.21",".299","74.6%","83","80","95","3.16","3.10","0.06","3.56","3.59","3815"
"Tyler Thornburg","Brewers","6.48","3.51","1.85","0.14","17.8%","9.6%","8.2%",".220","1.19",".271","80.7%","52","79","118","2.03","3.11","-1.08","4.43","4.38","10688"
"Buddy Boshers","Angels","7.63","4.70","1.63","0.00","20.6%","12.7%","7.9%",".241","1.37",".317","63.6%","124","81","108","4.70","3.11","1.58","4.27","4.09","8490"
"Mike Dunn","Marlins","9.58","3.72","2.57","0.67","25.5%","9.9%","15.6%",".209","1.20",".271","81.1%","72","85","98","2.66","3.12","-0.46","3.70","3.24","9948"
"Jamey Wright","Rays","8.36","2.96","2.83","0.51","22.6%","8.0%","14.6%",".235","1.20",".298","76.7%","80","81","88","3.09","3.13","-0.05","3.48","3.13","715"
"Matt Lindstrom","White Sox","6.82","3.41","2.00","0.30","17.7%","8.9%","8.9%",".271","1.43",".330","76.3%","77","77","98","3.12","3.15","-0.03","3.87","3.62","4604"
"Adam Ottavino","Rockies","8.96","3.56","2.52","0.57","23.3%","9.3%","14.0%",".242","1.33",".311","79.8%","60","77","94","2.64","3.15","-0.51","3.54","3.31","1247"
"Casey Fien","Twins","10.60","1.74","6.08","1.31","29.9%","4.9%","25.0%",".220","1.02",".280","69.4%","97","80","68","3.92","3.16","0.76","2.71","2.21","3926"
"Danny Salazar","Indians","11.25","2.60","4.33","1.21","30.8%","7.1%","23.7%",".224","1.13",".298","83.3%","78","80","70","3.12","3.16","-0.05","2.75","2.72","5867"
"Chris Sale","White Sox","9.49","1.93","4.91","0.97","26.1%","5.3%","20.8%",".228","1.07",".289","77.0%","76","78","75","3.07","3.17","-0.11","2.95","2.89","10603"
"Addison Reed","White Sox","9.08","2.90","3.13","0.76","24.4%","7.8%","16.6%",".207","1.11",".260","68.9%","93","78","95","3.79","3.17","0.61","3.77","3.18","10586"
"Robbie Ross Jr.","Rangers","8.37","2.74","3.05","0.58","21.7%","7.1%","14.6%",".259","1.32",".326","81.1%","71","78","86","3.03","3.18","-0.14","3.39","3.13","6819"
"Henderson Alvarez","Marlins","5.00","2.37","2.11","0.18","13.6%","6.5%","7.2%",".234","1.14",".271","67.7%","98","87","105","3.59","3.18","0.41","3.97","4.11","5669"
