"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid"
"John McDonald","Phillies","27.00","0.00","1.00","0.00","33.3%","0.0%","33.3%",".667","6.00","1.000","100.0%","0","-78","-80","0.00","-2.95","2.95","-2.95","0.69","395"
"Rob Johnson","Cardinals","27.00","0.00","1.00","0.00","100.0%","0.0%","100.0%",".000","0.00",".000","100.0%","0","-81","-80","0.00","-2.95","2.95","-2.95","-0.78","8029"
"Erik Davis","Nationals","12.46","1.04","12.00","0.00","31.6%","2.6%","29.0%",".270","1.27",".400","72.7%","83","16","37","3.12","0.62","2.49","1.41","1.54","8422"
"Heath Hembree","Giants","14.09","2.35","6.00","0.00","41.4%","6.9%","34.5%",".148","0.78",".267","100.0%","0","19","42","0.00","0.70","-0.70","1.59","1.30","11632"
"David Hale","Braves","11.45","0.82","14.00","0.00","30.4%","2.2%","28.3%",".244","1.09",".355","91.7%","22","21","33","0.82","0.78","0.04","1.27","1.52","9756"
"Mickey Storey","Blue Jays","13.50","2.25","6.00","0.00","31.6%","5.3%","26.3%",".333","1.75",".500","57.1%","166","20","81","6.75","0.80","5.95","3.19","2.37","4721"
"Matt Daley","Yankees","12.00","0.00","8.00","0.00","38.1%","0.0%","38.1%",".100","0.33",".167","100.0%","0","22","46","0.00","0.88","-0.88","1.79","0.86","7952"
"Ryan Raburn","Indians","9.00","0.00","1.00","0.00","33.3%","0.0%","33.3%",".000","0.00",".000","100.0%","0","27","27","0.00","1.05","-1.05","1.05","-1.14","2218"
"David Murphy","Rangers","9.00","0.00","1.00","0.00","25.0%","0.0%","25.0%",".250","1.00",".333","100.0%","0","26","61","0.00","1.05","-1.05","2.41","2.84","6035"
"Greg Holland","Royals","13.84","2.42","5.72","0.40","40.4%","7.1%","33.3%",".169","0.87",".282","87.4%","30","35","43","1.21","1.36","-0.15","1.68","1.43","7196"
