last_name, first_name,player_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95percent,barrels,brl_percent,brl_pa
Nunez, Eduardo,456488,416,5.9,25.7,111.5,86.0,91.2,83.9,412,139,388,134,32.4,7,1.7,1.4
Mercer, Jordy,474568,416,9.2,35.3,106.3,85.7,90.4,82.0,444,164,394,133,32.2,13,3.1,2.3
Goldschmidt, Paul,502671,415,11.6,32.8,112.4,91.4,96.5,86.8,453,178,405,196,47.3,55,13.3,8.3
Crawford, Brandon,543063,414,11.4,35.0,108.5,87.4,92.1,84.0,431,168,391,138,33.5,25,6.0,4.4
Seager, Corey,608369,411,11.1,40.4,110.9,89.7,94.9,83.9,462,178,409,180,43.8,35,8.5,5.7
Trumbo, Mark,444432,411,12.6,26.8,118.5,89.6,94.0,88.2,461,169,400,154,37.5,29,7.1,4.8
Arcia, Orlando,606115,411,6.2,29.0,107.3,85.3,90.7,82.1,422,148,399,113,27.6,17,4.1,3.1
Solarte, Yangervis,500208,409,14.5,31.8,110.2,85.5,89.3,84.5,455,172,393,112,27.5,16,3.9,3.1
Turner, Justin,457759,409,18.3,38.4,107.8,89.3,92.2,86.3,430,208,396,155,38.3,35,8.6,6.4
Mancini, Trey,641820,408,7.2,31.6,115.5,88.6,94.8,85.0,459,157,399,163,40.1,40,9.8,6.8
Hernandez, Cesar,514917,408,3.3,33.3,107.8,84.3,89.9,80.6,407,149,390,121,29.7,12,2.9,2.1
Garcia, Avisail,541645,408,7.5,31.6,115.5,90.3,95.4,86.6,451,159,407,166,40.8,36,8.8,6.4
Shaw, Travis,543768,404,14.6,34.4,113.7,88.3,93.2,84.8,458,184,401,157,38.9,29,7.2,4.8
Puig, Yasiel,624577,404,10.6,27.5,116.0,88.4,94.1,85.7,449,162,408,148,36.8,38,9.4,6.7
Zimmerman, Ryan,475582,403,8.5,33.3,113.1,91.4,97.8,86.3,470,173,405,194,48.7,51,12.7,8.9
Iglesias, Jose,578428,402,8.2,32.6,105.2,82.4,86.7,80.8,433,143,393,85,21.1,5,1.2,1.0
Cabrera, Asdrubal,452678,402,11.3,37.6,105.3,86.7,92.1,82.4,428,176,393,130,32.5,19,4.7,3.5
Herrera, Odubel,546318,402,8.9,35.1,114.6,86.5,91.1,83.8,434,172,396,129,32.1,25,6.2,4.4
Harrison, Josh,543281,401,15.7,38.7,103.2,84.1,89.7,77.6,422,186,377,95,23.9,11,2.7,2.0
Kepler, Max,596146,401,12.7,31.9,113.2,88.3,92.3,87.0,440,174,398,147,36.7,16,4.0,2.8
Pence, Hunter,452254,395,4.4,25.3,114.0,89.0,94.0,86.8,444,142,395,148,37.6,23,5.8,4.3
Myers, Wil,571976,394,15.3,35.3,112.5,89.1,95.3,84.8,461,191,408,175,44.6,36,9.1,5.5
Moreland, Mitch,519048,393,11.5,34.9,113.3,89.1,94.8,84.2,449,184,413,142,36.3,47,12.0,8.2
Suarez, Eugenio,553993,392,14.7,39.0,108.8,86.2,91.5,81.1,451,188,393,125,32.0,27,6.9,4.3
Gamel, Ben,592325,391,10.7,33.2,108.5,86.2,90.2,83.3,414,166,385,114,29.2,16,4.1,2.9
Lamb, Jake,571875,389,12.2,34.4,109.4,88.3,93.0,84.1,481,191,407,141,36.3,36,9.3,5.7
Headley, Chase,452104,388,11.3,36.9,107.9,86.7,90.3,83.8,435,170,396,129,33.2,18,4.6,3.1
Margot, Manuel,622534,386,10.1,34.7,109.7,84.5,90.0,80.5,424,173,395,111,29.3,10,2.6,1.9
Sanchez, Yolmer,570560,384,9.3,32.6,106.5,83.8,89.0,80.0,422,159,399,94,24.5,13,3.4,2.4
Perez, Salvador,521692,381,18.7,34.4,111.3,88.5,92.5,84.6,451,210,405,145,38.4,36,9.4,7.2
Ramirez, Hanley,434670,380,12.5,35.3,114.3,88.4,93.3,84.7,469,181,415,144,37.9,36,9.5,6.5
Carpenter, Matt,572761,379,21.4,37.5,113.0,88.9,92.4,83.2,427,222,400,139,37.0,31,8.2,5.0
Upton, Justin,457708,378,15.7,36.0,114.2,88.7,94.3,84.1,454,199,404,154,40.7,50,13.2,7.9
Davis, Khris,501981,378,14.2,37.6,113.5,92.2,98.7,85.1,458,202,407,196,51.9,67,17.7,10.3
Lucroy, Jonathan,518960,376,7.7,31.9,106.7,85.0,87.5,84.1,435,151,416,91,24.3,9,2.4,1.9
Taylor, Chris,621035,373,11.8,39.9,110.1,86.8,91.2,82.8,443,177,397,124,33.6,29,7.8,5.1
Swanson, Dansby,621020,372,8.4,31.2,107.6,86.8,91.5,83.7,419,155,395,117,31.8,11,3.0,2.0
Beltran, Carlos,136860,371,13.3,29.1,109.6,87.3,91.5,85.0,438,183,397,114,30.7,17,4.6,3.3
Heyward, Jason,518792,369,10.9,29.3,112.7,86.4,90.9,85.1,434,161,397,112,30.4,15,4.1,3.1
Joseph, Tommy,571830,369,14.0,30.9,112.8,89.1,94.2,86.5,447,177,401,148,40.3,27,7.3,5.1
Zobrist, Ben,450314,369,9.0,29.0,106.9,86.8,90.7,84.4,425,158,393,119,32.2,17,4.6,3.4
Beckham, Tim,542921,368,8.4,34.8,110.1,87.8,94.3,83.3,456,166,402,146,39.8,35,9.5,6.1
Morrison, Logan,489149,366,17.6,39.6,114.4,88.6,94.2,82.0,444,206,405,155,42.5,47,12.8,7.8
Pedroia, Dustin,456030,364,10.2,33.2,101.9,85.0,88.6,83.2,395,155,381,76,21.1,4,1.1,0.9
Cozart, Zack,446359,364,14.7,35.7,108.3,85.8,89.5,82.6,433,183,391,105,28.9,16,4.4,3.2
Escobar, Eduardo,500871,363,17.6,37.5,108.4,86.4,90.7,82.7,438,197,404,111,30.6,31,8.5,6.2
Joyce, Matt,459964,363,15.2,38.3,109.7,88.1,93.2,82.3,438,202,403,125,34.4,32,8.8,5.9
Cabrera, Miguel,408234,362,12.2,41.7,111.5,91.3,95.5,86.7,451,190,388,173,47.9,38,10.5,7.2
Gonzalez, Marwin,503556,361,10.9,29.4,109.8,87.5,93.7,82.1,443,167,386,131,36.3,24,6.6,4.7
Bradley Jr., Jackie,598265,360,9.4,30.6,110.6,88.1,94.4,83.7,441,159,406,142,39.4,27,7.5,5.0
Perez, Hernan,541650,359,9.5,29.2,108.5,84.1,90.4,80.2,423,153,398,99,27.6,11,3.1,2.4
Gonzalez, Carlos,471865,357,6.1,28.9,117.1,87.4,93.0,84.4,478,159,415,131,36.7,21,5.9,3.9
Gordon, Alex,460086,356,13.2,35.1,109.6,85.8,92.5,79.6,433,173,390,110,31.2,16,4.5,3.0
Sanchez, Gary,596142,355,13.2,33.5,115.7,90.8,96.0,87.6,493,175,416,152,42.9,42,11.8,8.0
Frazier, Todd,453943,354,20.3,33.1,109.8,87.5,93.3,83.1,441,197,402,107,30.3,34,9.6,5.9
Pollock, A.J.,572041,354,8.3,35.0,108.7,87.8,93.9,83.3,433,169,406,135,38.4,20,5.6,4.3
Frazier, Adam,624428,353,8.9,38.0,111.9,85.5,87.9,83.8,432,158,401,83,23.9,7,2.0,1.5
Castro, Starlin,516770,353,6.9,30.6,110.4,87.4,93.3,84.1,452,150,398,129,36.5,16,4.5,3.4
Schebler, Scott,594988,353,11.3,30.0,111.2,88.8,95.6,84.7,457,172,405,144,40.8,36,10.2,6.8
Santana, Domingo,570267,350,10.5,40.9,113.7,89.3,93.2,85.8,476,175,394,140,40.0,34,9.7,5.6
Gennett, Scooter,571697,349,12.8,35.0,106.8,86.0,92.2,80.0,452,179,393,123,35.3,24,6.9,4.8
Reynolds, Mark,448602,348,11.9,36.5,112.1,87.1,93.2,82.0,482,182,419,125,35.9,29,8.3,4.9
Freeman, Freddie,518692,347,15.8,40.9,109.0,89.6,93.8,84.0,443,209,401,144,42.1,46,13.3,8.9
Souza Jr., Steven,519306,347,10.9,33.7,116.2,88.0,94.8,81.8,455,181,408,131,37.9,40,11.5,6.5
Drury, Brandon,592273,344,7.4,34.0,111.7,87.9,93.5,84.1,444,159,408,132,38.6,17,4.9,3.5
Kemp, Matt,461314,340,8.2,39.1,111.9,88.4,93.6,83.8,423,171,395,130,38.5,32,9.4,6.9
Judge, Aaron,592450,338,15.8,38.2,121.1,94.9,100.2,88.6,495,215,413,185,54.7,87,25.7,12.8
Bellinger, Cody,641355,337,16.5,35.6,112.8,89.6,96.6,82.0,447,198,394,153,45.7,41,12.2,7.5
Valencia, Danny,502143,336,9.0,31.8,114.0,88.2,92.8,86.2,434,159,404,125,37.5,19,5.7,3.8
Parra, Gerardo,467827,334,7.4,37.7,106.1,85.0,90.8,79.4,436,171,398,99,29.7,7,2.1,1.6
Correa, Carlos,621043,334,9.2,38.6,112.0,90.4,94.9,86.7,449,172,400,148,44.3,31,9.3,6.4
Alonso, Yonder,475174,333,19.4,35.7,111.5,89.2,93.4,86.1,436,197,402,136,40.8,33,9.9,6.3
Baez, Javier,595879,333,9.2,28.2,113.3,86.9,94.0,82.6,463,167,410,115,34.7,28,8.4,5.5
Turner, Trea,607208,333,6.9,29.1,111.9,88.8,93.9,85.8,437,160,402,130,39.2,18,5.4,4.0
Pham, Tommy,502054,332,6.5,34.3,111.6,89.2,94.7,85.6,443,151,407,143,43.1,31,9.3,5.8
Goins, Ryan,572365,332,8.3,27.4,107.0,84.9,90.8,81.6,439,153,400,97,29.3,10,3.0,2.2
Wieters, Matt,446308,332,12.4,34.6,106.0,85.8,91.1,81.3,434,171,410,96,29.3,13,3.9,2.8
Martinez, Victor,400121,331,12.8,38.1,107.1,88.6,92.8,84.7,420,181,381,114,34.7,18,5.4,4.1
Granderson, Curtis,434158,329,20.2,33.7,109.2,87.5,93.0,82.0,431,203,398,112,34.6,36,10.9,6.8
Gyorko, Jedd,576397,328,15.3,32.9,110.6,86.5,92.7,81.4,450,179,394,101,31.2,27,8.2,5.6
Heredia, Guillermo,628338,324,9.0,29.0,107.8,83.1,88.2,80.5,409,151,387,74,22.8,5,1.5,1.2
Harper, Bryce,547180,324,13.6,35.8,116.3,90.6,95.3,87.5,451,185,407,137,42.8,38,11.7,7.7
Fowler, Dexter,451594,323,13.2,40.6,112.4,88.4,92.2,84.6,429,191,397,118,37.0,21,6.5,4.3
Polanco, Gregory,570256,320,13.1,30.3,112.1,86.5,91.6,84.6,434,174,407,96,30.0,12,3.8,2.9
Spangenberg, Cory,605486,319,8.6,35.7,108.8,84.6,91.2,79.8,432,156,406,91,28.8,14,4.4,2.9
Maldonado, Martin,455117,319,10.4,26.3,110.4,83.3,91.2,78.0,465,162,407,98,30.7,18,5.6,3.8
Buxton, Byron,621439,319,11.8,32.6,110.9,85.0,92.8,76.7,441,175,403,102,32.3,18,5.6,3.5
Trout, Mike,545361,316,18.0,36.4,114.7,88.8,94.2,84.1,448,199,411,124,39.2,42,13.3,8.3
Freese, David,501896,314,3.0,31.2,110.2,89.0,94.0,86.3,449,141,397,134,42.9,20,6.4,4.0
Story, Trevor,596115,313,18.8,37.1,110.1,88.9,93.8,83.4,438,208,407,120,38.3,33,10.5,5.9
Grandal, Yasmani,518735,312,12.2,34.3,109.3,87.9,93.9,83.6,425,176,389,118,37.8,24,7.7,5.0
Walker, Neil,435522,311,16.5,35.4,109.8,85.6,90.1,81.9,431,182,400,97,31.3,15,4.8,3.3
Dietrich, Derek,518618,311,16.6,32.2,110.8,85.9,90.1,82.0,425,192,391,101,32.5,18,5.8,3.9
Barnhart, Tucker,571466,310,8.7,36.5,104.5,85.2,91.4,79.8,444,166,401,78,25.2,7,2.3,1.7
Braun, Ryan,460075,308,7.5,30.8,114.7,89.7,96.0,85.5,429,162,401,134,43.6,26,8.4,6.1
Martinez, J.D.,502110,308,15.2,37.7,114.8,91.0,97.1,84.5,466,210,413,150,48.9,60,19.5,12.3
Grossman, Robbie,543257,307,11.1,37.1,109.8,85.5,89.9,81.8,422,178,400,82,26.8,9,2.9,2.0
Thames, Eric,519346,306,12.7,36.3,112.0,88.1,94.0,81.8,436,195,392,119,38.9,34,11.1,6.2
Renfroe, Hunter,592669,306,15.2,32.0,113.7,87.9,94.2,82.8,462,192,405,103,33.8,33,10.8,6.9
Donaldson, Josh,518626,306,13.5,31.7,113.5,90.6,96.9,85.0,481,186,408,134,43.8,43,14.1,8.7
Jay, Jon,445055,304,8.4,40.1,104.4,84.0,87.0,81.4,394,153,376,68,22.4,2,0.7,0.5
Maybin, Cameron,457727,303,4.1,28.7,109.2,86.4,91.2,83.9,430,144,393,97,32.0,10,3.3,2.2
Escobar, Yunel,488862,299,2.5,31.8,111.7,89.0,93.6,86.3,438,147,412,115,38.5,15,5.0,3.9
Wong, Kolten,543939,298,8.1,33.6,109.7,85.1,90.1,82.0,425,155,413,85,28.8,9,3.0,2.2
Aoki, Norichika,493114,298,4.1,28.2,106.6,85.8,89.9,84.3,404,134,384,72,24.2,3,1.0,0.8
Dyson, Jarrod,502481,297,6.5,30.3,104.5,79.8,87.5,75.8,407,143,387,54,18.2,5,1.7,1.3
McCann, Brian,435263,296,14.1,34.1,106.4,87.4,92.6,84.0,425,176,395,99,33.4,17,5.7,4.3
Ellsbury, Jacoby,453056,295,9.2,33.2,108.4,84.9,90.1,81.6,420,164,375,75,25.4,8,2.7,2.0
DeJong, Paul,657557,294,18.3,42.9,108.6,86.4,93.7,77.5,434,192,398,114,39.6,27,9.2,6.1
Beltre, Adrian,134181,294,12.3,36.1,107.4,86.7,91.4,82.1,430,181,396,93,31.8,17,5.8,4.4
Brantley, Michael,488726,292,9.7,33.9,110.2,88.4,91.8,86.8,423,159,401,104,35.7,12,4.1,3.2
d'Arnaud, Travis,518595,292,13.4,33.6,111.6,87.9,93.3,83.3,455,173,400,102,35.1,19,6.5,5.1
Duda, Lucas,446263,290,19.2,40.3,114.5,90.3,95.2,85.1,451,208,404,127,43.8,35,12.1,7.1
Flores, Wilmer,527038,288,16.8,36.8,108.1,87.5,91.6,83.9,414,193,389,97,33.7,17,5.9,4.7
Bour, Justin,571506,286,9.8,37.1,114.8,89.2,95.3,85.6,446,178,399,113,39.5,31,10.8,7.2
Kiermaier, Kevin,595281,286,7.2,28.3,110.9,85.9,91.5,82.6,443,159,410,86,30.2,15,5.2,3.6
DeShields, Delino,592261,284,7.0,28.5,104.4,79.2,89.2,71.6,407,159,398,63,22.2,8,2.8,1.8
Contreras, Willson,575929,282,5.9,29.8,115.1,87.1,95.7,81.9,442,157,409,100,35.5,29,10.3,6.8
Grichuk, Randal,545341,281,16.3,37.7,113.3,89.2,95.4,81.9,434,200,406,113,40.4,45,16.0,10.2
Aybar, Erick,430947,281,6.0,30.6,105.2,81.5,87.5,77.3,413,144,388,44,15.8,5,1.8,1.4
Torreyes, Ronald,591720,281,7.7,27.0,100.0,80.3,85.5,77.5,402,133,371,35,12.5,2,0.7,0.6
Owings, Chris,572008,281,11.0,34.2,108.4,85.7,90.6,81.6,442,166,407,77,27.6,11,3.9,2.8
Belt, Brandon,474832,279,20.9,35.1,108.4,88.2,93.9,82.2,456,216,406,112,40.4,31,11.1,6.9
Barney, Darwin,446381,278,10.3,32.0,101.7,81.3,86.5,77.8,401,152,373,34,12.2,1,0.4,0.3
Haniger, Mitch,571745,277,10.6,36.5,111.2,87.4,93.1,81.8,437,174,400,97,35.0,17,6.1,4.1
Villar, Jonathan,542340,274,1.5,27.0,114.7,86.7,93.5,83.3,450,140,395,93,33.9,15,5.5,3.4
Kipnis, Jason,543401,272,17.1,37.9,107.8,85.8,91.1,81.1,416,196,391,86,31.6,13,4.8,3.5
Schwarber, Kyle,656941,272,17.8,29.8,116.1,88.9,95.5,82.5,470,196,409,113,41.5,41,15.1,8.4
Mahtook, Mikie,543484,271,10.4,32.8,111.9,88.4,92.0,85.6,448,171,410,102,37.6,15,5.5,4.0
Altherr, Aaron,571437,269,11.2,32.7,112.3,89.3,94.1,86.5,421,173,395,115,42.8,28,10.4,6.8
Hedges, Austin,595978,269,16.9,29.7,108.9,87.1,93.1,82.7,430,183,391,91,34.2,20,7.4,4.8
Revere, Ben,519184,268,4.4,36.9,101.9,82.5,86.2,80.1,382,138,368,35,13.1,1,0.4,0.3
McCann, James,543510,267,15.3,40.4,109.2,86.9,90.9,82.9,435,183,397,90,33.7,21,7.9,5.4
Bonifacio, Jorge,593528,267,14.6,37.8,112.7,87.6,91.9,83.3,437,184,407,104,39.1,24,9.0,5.7
Hechavarria, Adeiny,588751,267,8.8,32.2,108.7,86.7,91.4,83.9,417,159,397,92,34.6,8,3.0,2.3
Difo, Wilmer,594694,266,4.8,32.7,110.3,82.7,89.7,78.0,445,142,422,67,25.7,6,2.3,1.6
Taylor, Michael A.,572191,265,11.5,35.8,112.7,86.6,94.2,80.7,439,180,401,99,37.9,26,9.8,6.0
Napoli, Mike,435063,265,22.2,29.1,112.5,88.2,94.0,83.0,448,204,406,109,41.1,42,15.8,8.7
Davis, Chris,448801,265,14.8,40.4,109.8,89.9,95.2,83.5,427,202,395,119,45.1,34,12.8,6.5
Holliday, Matt,407812,264,11.8,31.4,116.0,89.8,95.4,86.5,459,168,413,115,43.6,27,10.2,6.3
Conforto, Michael,624424,262,13.7,39.3,111.4,89.2,95.3,83.2,450,187,393,113,43.5,33,12.6,7.5
Vazquez, Christian,543877,261,7.9,34.5,105.7,85.2,88.6,82.5,409,157,398,58,22.2,7,2.7,2.0
Russell, Addison,608365,261,14.7,35.6,110.0,88.1,91.2,85.2,437,188,401,92,35.2,15,5.7,3.9
Semien, Marcus,543760,261,17.2,38.3,106.5,87.0,91.3,82.5,406,189,382,78,30.0,12,4.6,3.1
Desmond, Ian,435622,258,0.0,22.5,111.6,87.2,93.1,84.6,421,124,381,78,30.5,7,2.7,1.9
Piscotty, Stephen,572039,257,9.7,37.0,109.3,86.0,91.6,81.6,443,171,402,87,34.5,17,6.6,4.2
Forsythe, Logan,523253,257,12.0,40.1,103.6,88.9,92.3,85.7,442,187,409,87,34.0,10,3.9,2.3
